County Name,Scrape Time,Total Cases,Total Deaths,Total Tested: Negative
Wasco,2020-07-06 20:09:47.470709,94,1,2337
Washington,2020-07-06 20:09:47.470709,1620,20,35574
Wheeler,2020-07-06 20:09:47.470709,0,0,122
Yamhill,2020-07-06 20:09:47.470709,139,8,5947
Baker,2020-07-07 20:08:33.903629,5,0,553
Benton,2020-07-07 20:08:33.903629,97,5,6290
Clackamas,2020-07-07 20:08:33.903629,877,25,25445
Clatsop,2020-07-07 20:08:33.903629,54,0,2558
Columbia,2020-07-07 20:08:33.903629,44,0,3035
Coos,2020-07-07 20:08:33.903629,46,0,2920
Crook,2020-07-07 20:08:33.903629,14,0,1116
Curry,2020-07-07 20:08:33.903629,8,0,749
Deschutes,2020-07-07 20:08:33.903629,221,0,11634
Douglas,2020-07-07 20:08:33.903629,54,0,5474
Gilliam,2020-07-07 20:08:33.903629,1,0,109
Grant,2020-07-07 20:08:33.903629,1,0,212
Harney,2020-07-07 20:08:33.903629,1,0,429
Hood River,2020-07-07 20:08:33.903629,97,0,2493
Jackson,2020-07-07 20:08:33.903629,152,0,13094
Jefferson,2020-07-07 20:08:33.903629,136,0,2126
Josephine,2020-07-07 20:08:33.903629,59,1,4645
Klamath,2020-07-07 20:08:33.903629,131,1,5343
Lake,2020-07-07 20:08:33.903629,22,0,268
Lane,2020-07-07 20:08:33.903629,243,3,26039
Lincoln,2020-07-07 20:08:33.903629,346,4,4763
Linn,2020-07-07 20:08:33.903629,157,10,7120
Malheur,2020-07-07 20:08:33.903629,223,1,1841
Marion,2020-07-07 20:08:33.903629,1683,50,18641
Morrow,2020-07-07 20:08:33.903629,109,1,578
Multnomah,2020-07-07 20:08:33.903629,2580,70,57475
Polk,2020-07-07 20:08:33.903629,166,12,3094
Sherman,2020-07-07 20:08:33.903629,3,0,167
Tillamook,2020-07-07 20:08:33.903629,15,0,1460
Umatilla,2020-07-07 20:08:33.903629,792,6,4640
Union,2020-07-07 20:08:33.903629,361,1,1741
Wallowa,2020-07-07 20:08:33.903629,11,0,459
Wasco,2020-07-07 20:08:33.903629,96,1,2349
Washington,2020-07-07 20:08:33.903629,1645,20,36232
Wheeler,2020-07-07 20:08:33.903629,0,0,122
Yamhill,2020-07-07 20:08:33.903629,155,9,6087
Baker,2020-07-08 20:39:29.335135,8,0,573
Benton,2020-07-08 20:39:29.335135,98,6,6327
Clackamas,2020-07-08 20:39:29.335135,894,25,25922
Clatsop,2020-07-08 20:39:29.335135,55,0,2589
Columbia,2020-07-08 20:39:29.335135,45,0,3074
Coos,2020-07-08 20:39:29.335135,48,0,2955
Crook,2020-07-08 20:39:29.335135,15,0,1123
Curry,2020-07-08 20:39:29.335135,9,0,760
Deschutes,2020-07-08 20:39:29.335135,224,0,11750
Douglas,2020-07-08 20:39:29.335135,56,0,5533
Gilliam,2020-07-08 20:39:29.335135,1,0,113
Grant,2020-07-08 20:39:29.335135,1,0,213
Harney,2020-07-08 20:39:29.335135,2,0,433
Hood River,2020-07-08 20:39:29.335135,98,0,2526
Jackson,2020-07-08 20:39:29.335135,157,0,13317
Jefferson,2020-07-08 20:39:29.335135,137,0,2150
Josephine,2020-07-08 20:39:29.335135,61,1,4744
Klamath,2020-07-08 20:39:29.335135,131,1,5358
Lake,2020-07-08 20:39:29.335135,22,0,275
Lane,2020-07-08 20:39:29.335135,253,3,26515
Lincoln,2020-07-08 20:39:29.335135,349,4,4776
Linn,2020-07-08 20:39:29.335135,165,10,7158
Malheur,2020-07-08 20:39:29.335135,235,1,1908
Marion,2020-07-08 20:39:29.335135,1697,51,19016
Morrow,2020-07-08 20:39:29.335135,119,1,605
Multnomah,2020-07-08 20:39:29.335135,2608,72,58435
Polk,2020-07-08 20:39:29.335135,166,12,3120
Sherman,2020-07-08 20:39:29.335135,3,0,173
Tillamook,2020-07-08 20:39:29.335135,15,0,1491
Umatilla,2020-07-08 20:39:29.335135,834,6,4756
Union,2020-07-08 20:39:29.335135,363,1,1748
Wallowa,2020-07-08 20:39:29.335135,11,0,471
Wasco,2020-07-08 20:39:29.335135,97,1,2367
Washington,2020-07-08 20:39:29.335135,1676,20,36849
Wheeler,2020-07-08 20:39:29.335135,0,0,122
Yamhill,2020-07-08 20:39:29.335135,164,9,6205
Baker,2020-07-09 20:22:16.607447,8,0,596
Benton,2020-07-09 20:22:16.607447,99,6,6557
Clackamas,2020-07-09 20:22:16.607447,914,27,26350
Clatsop,2020-07-09 20:22:16.607447,55,0,2656
Columbia,2020-07-09 20:22:16.607447,47,0,3119
Coos,2020-07-09 20:22:16.607447,52,0,2969
Crook,2020-07-09 20:22:16.607447,17,1,1148
Curry,2020-07-09 20:22:16.607447,9,0,771
Deschutes,2020-07-09 20:22:16.607447,229,0,11960
Douglas,2020-07-09 20:22:16.607447,56,0,5603
Gilliam,2020-07-09 20:22:16.607447,1,0,116
Grant,2020-07-09 20:22:16.607447,1,0,218
Harney,2020-07-09 20:22:16.607447,2,0,434
Hood River,2020-07-09 20:22:16.607447,99,0,2615
Jackson,2020-07-09 20:22:16.607447,164,0,13561
Jefferson,2020-07-09 20:22:16.607447,145,0,2195
Josephine,2020-07-09 20:22:16.607447,54,1,4831
Klamath,2020-07-09 20:22:16.607447,131,1,5378
Lake,2020-07-09 20:22:16.607447,24,0,286
Lane,2020-07-09 20:22:16.607447,271,3,27027
Lincoln,2020-07-09 20:22:16.607447,363,4,5003
Linn,2020-07-09 20:22:16.607447,168,10,7610
Malheur,2020-07-09 20:22:16.607447,266,1,1983
Marion,2020-07-09 20:22:16.607447,1743,53,19305
Morrow,2020-07-09 20:22:16.607447,132,1,633
Multnomah,2020-07-09 20:22:16.607447,2694,72,59541
Polk,2020-07-09 20:22:16.607447,168,12,3164
Sherman,2020-07-09 20:22:16.607447,3,0,179
Tillamook,2020-07-09 20:22:16.607447,15,0,1525
Umatilla,2020-07-09 20:22:16.607447,886,7,4942
Union,2020-07-09 20:22:16.607447,367,1,1774
Wallowa,2020-07-09 20:22:16.607447,12,0,473
Wasco,2020-07-09 20:22:16.607447,102,1,2411
Washington,2020-07-09 20:22:16.607447,1720,20,37517
Wheeler,2020-07-09 20:22:16.607447,0,0,122
Yamhill,2020-07-09 20:22:16.607447,171,9,6315
Baker,2020-07-10 20:21:53.243888,9,0,614
Benton,2020-07-10 20:21:53.243888,105,6,6634
Clackamas,2020-07-10 20:21:53.243888,925,27,26786
Clatsop,2020-07-10 20:21:53.243888,55,0,2693
Columbia,2020-07-10 20:21:53.243888,47,0,3189
Coos,2020-07-10 20:21:53.243888,52,0,2979
Crook,2020-07-10 20:21:53.243888,18,1,1165
Curry,2020-07-10 20:21:53.243888,9,0,777
Deschutes,2020-07-10 20:21:53.243888,237,0,12150
Douglas,2020-07-10 20:21:53.243888,58,0,5667
Gilliam,2020-07-10 20:21:53.243888,1,0,117
Grant,2020-07-10 20:21:53.243888,1,0,391
Harney,2020-07-10 20:21:53.243888,2,0,443
Hood River,2020-07-10 20:21:53.243888,103,0,2647
Jackson,2020-07-10 20:21:53.243888,173,0,13702
Jefferson,2020-07-10 20:21:53.243888,160,0,2227
Josephine,2020-07-10 20:21:53.243888,55,1,4887
Klamath,2020-07-10 20:21:53.243888,131,1,5386
Lake,2020-07-10 20:21:53.243888,24,0,294
Lane,2020-07-10 20:21:53.243888,281,3,27354
Lincoln,2020-07-10 20:21:53.243888,362,5,5074
Linn,2020-07-10 20:21:53.243888,172,10,7771
Malheur,2020-07-10 20:21:53.243888,286,1,2018
Marion,2020-07-10 20:21:53.243888,1770,53,19691
Morrow,2020-07-10 20:21:53.243888,131,1,634
Multnomah,2020-07-10 20:21:53.243888,2730,72,60661
Polk,2020-07-10 20:21:53.243888,171,12,3223
Sherman,2020-07-10 20:21:53.243888,3,0,180
Tillamook,2020-07-10 20:21:53.243888,16,0,1541
Umatilla,2020-07-10 20:21:53.243888,937,7,4989
Union,2020-07-10 20:21:53.243888,368,2,1792
Wallowa,2020-07-10 20:21:53.243888,13,0,481
Wasco,2020-07-10 20:21:53.243888,106,1,2431
Washington,2020-07-10 20:21:53.243888,1764,20,38205
Wheeler,2020-07-10 20:21:53.243888,0,0,122
Yamhill,2020-07-10 20:21:53.243888,179,9,6401
Baker,2020-07-11 20:22:08.711495,9,0,614
Benton,2020-07-11 20:22:08.711495,105,6,6634
Clackamas,2020-07-11 20:22:08.711495,925,27,26786
Clatsop,2020-07-11 20:22:08.711495,55,0,2693
Columbia,2020-07-11 20:22:08.711495,47,0,3189
Coos,2020-07-11 20:22:08.711495,52,0,2979
Crook,2020-07-11 20:22:08.711495,18,1,1165
Curry,2020-07-11 20:22:08.711495,9,0,777
Deschutes,2020-07-11 20:22:08.711495,237,0,12150
Douglas,2020-07-11 20:22:08.711495,58,0,5667
Gilliam,2020-07-11 20:22:08.711495,1,0,117
Grant,2020-07-11 20:22:08.711495,1,0,391
Harney,2020-07-11 20:22:08.711495,2,0,443
Hood River,2020-07-11 20:22:08.711495,103,0,2647
Jackson,2020-07-11 20:22:08.711495,173,0,13702
Jefferson,2020-07-11 20:22:08.711495,160,0,2227
Josephine,2020-07-11 20:22:08.711495,55,1,4887
Klamath,2020-07-11 20:22:08.711495,131,1,5386
Lake,2020-07-11 20:22:08.711495,24,0,294
Lane,2020-07-11 20:22:08.711495,281,3,27354
Lincoln,2020-07-11 20:22:08.711495,362,5,5074
Linn,2020-07-11 20:22:08.711495,172,10,7771
Malheur,2020-07-11 20:22:08.711495,286,1,2018
Marion,2020-07-11 20:22:08.711495,1770,53,19691
Morrow,2020-07-11 20:22:08.711495,131,1,634
Multnomah,2020-07-11 20:22:08.711495,2730,72,60661
Polk,2020-07-11 20:22:08.711495,171,12,3223
Sherman,2020-07-11 20:22:08.711495,3,0,180
Tillamook,2020-07-11 20:22:08.711495,16,0,1541
Umatilla,2020-07-11 20:22:08.711495,937,7,4989
Union,2020-07-11 20:22:08.711495,368,2,1792
Wallowa,2020-07-11 20:22:08.711495,13,0,481
Wasco,2020-07-11 20:22:08.711495,106,1,2431
Washington,2020-07-11 20:22:08.711495,1764,20,38205
Wheeler,2020-07-11 20:22:08.711495,0,0,122
Yamhill,2020-07-11 20:22:08.711495,179,9,6401
Baker,2020-07-12 20:15:13.938603,9,0,614
Benton,2020-07-12 20:15:13.938603,105,6,6634
Clackamas,2020-07-12 20:15:13.938603,925,27,26786
Clatsop,2020-07-12 20:15:13.938603,55,0,2693
Columbia,2020-07-12 20:15:13.938603,47,0,3189
Coos,2020-07-12 20:15:13.938603,52,0,2979
Crook,2020-07-12 20:15:13.938603,18,1,1165
Curry,2020-07-12 20:15:13.938603,9,0,777
Deschutes,2020-07-12 20:15:13.938603,237,0,12150
Douglas,2020-07-12 20:15:13.938603,58,0,5667
Gilliam,2020-07-12 20:15:13.938603,1,0,117
Grant,2020-07-12 20:15:13.938603,1,0,391
Harney,2020-07-12 20:15:13.938603,2,0,443
Hood River,2020-07-12 20:15:13.938603,103,0,2647
Jackson,2020-07-12 20:15:13.938603,173,0,13702
Jefferson,2020-07-12 20:15:13.938603,160,0,2227
Josephine,2020-07-12 20:15:13.938603,55,1,4887
Klamath,2020-07-12 20:15:13.938603,131,1,5386
Lake,2020-07-12 20:15:13.938603,24,0,294
Lane,2020-07-12 20:15:13.938603,281,3,27354
Lincoln,2020-07-12 20:15:13.938603,362,5,5074
Linn,2020-07-12 20:15:13.938603,172,10,7771
Malheur,2020-07-12 20:15:13.938603,286,1,2018
Marion,2020-07-12 20:15:13.938603,1770,53,19691
Morrow,2020-07-12 20:15:13.938603,131,1,634
Multnomah,2020-07-12 20:15:13.938603,2730,72,60661
Polk,2020-07-12 20:15:13.938603,171,12,3223
Sherman,2020-07-12 20:15:13.938603,3,0,180
Tillamook,2020-07-12 20:15:13.938603,16,0,1541
Umatilla,2020-07-12 20:15:13.938603,937,7,4989
Union,2020-07-12 20:15:13.938603,368,2,1792
Wallowa,2020-07-12 20:15:13.938603,13,0,481
Wasco,2020-07-12 20:15:13.938603,106,1,2431
Washington,2020-07-12 20:15:13.938603,1764,20,38205
Wheeler,2020-07-12 20:15:13.938603,0,0,122
Yamhill,2020-07-12 20:15:13.938603,179,9,6401
Baker,2020-07-13 20:18:50.344172,12,0,647
Benton,2020-07-13 20:18:50.344172,115,6,6757
Clackamas,2020-07-13 20:18:50.344172,1006,28,28063
Clatsop,2020-07-13 20:18:50.344172,55,0,2797
Columbia,2020-07-13 20:18:50.344172,54,0,3331
Coos,2020-07-13 20:18:50.344172,54,0,3061
Crook,2020-07-13 20:18:50.344172,18,1,1213
Curry,2020-07-13 20:18:50.344172,9,0,792
Deschutes,2020-07-13 20:18:50.344172,268,0,12772
Douglas,2020-07-13 20:18:50.344172,64,0,5916
Gilliam,2020-07-13 20:18:50.344172,2,0,119
Grant,2020-07-13 20:18:50.344172,1,0,408
Harney,2020-07-13 20:18:50.344172,2,0,455
Hood River,2020-07-13 20:18:50.344172,106,0,2739
Jackson,2020-07-13 20:18:50.344172,181,0,14170
Jefferson,2020-07-13 20:18:50.344172,168,0,2342
Josephine,2020-07-13 20:18:50.344172,57,1,5017
Klamath,2020-07-13 20:18:50.344172,138,1,5626
Lake,2020-07-13 20:18:50.344172,24,0,334
Lane,2020-07-13 20:18:50.344172,309,3,28518
Lincoln,2020-07-13 20:18:50.344172,361,5,5124
Linn,2020-07-13 20:18:50.344172,182,10,7935
Malheur,2020-07-13 20:18:50.344172,400,2,2215
Marion,2020-07-13 20:18:50.344172,1893,54,20864
Morrow,2020-07-13 20:18:50.344172,154,1,690
Multnomah,2020-07-13 20:18:50.344172,2966,72,63732
Polk,2020-07-13 20:18:50.344172,179,12,3347
Sherman,2020-07-13 20:18:50.344172,5,0,190
Tillamook,2020-07-13 20:18:50.344172,16,0,1578
Umatilla,2020-07-13 20:18:50.344172,1041,8,5377
Union,2020-07-13 20:18:50.344172,369,2,1854
Wallowa,2020-07-13 20:18:50.344172,15,0,498
Wasco,2020-07-13 20:18:50.344172,117,1,2540
Washington,2020-07-13 20:18:50.344172,1892,21,40368
Wheeler,2020-07-13 20:18:50.344172,0,0,124
Yamhill,2020-07-13 20:18:50.344172,205,9,6761
Baker,2020-07-14 20:14:42.442281,12,0,651
Benton,2020-07-14 20:14:42.442281,116,6,6831
Clackamas,2020-07-14 20:14:42.442281,1027,29,28522
Clatsop,2020-07-14 20:14:42.442281,56,0,2819
Columbia,2020-07-14 20:14:42.442281,57,0,3392
Coos,2020-07-14 20:14:42.442281,55,0,3083
Crook,2020-07-14 20:14:42.442281,19,1,1227
Curry,2020-07-14 20:14:42.442281,9,0,806
Deschutes,2020-07-14 20:14:42.442281,276,0,12897
Douglas,2020-07-14 20:14:42.442281,66,0,5964
Gilliam,2020-07-14 20:14:42.442281,2,0,120
Grant,2020-07-14 20:14:42.442281,1,0,421
Harney,2020-07-14 20:14:42.442281,2,0,458
Hood River,2020-07-14 20:14:42.442281,109,0,2780
Jackson,2020-07-14 20:14:42.442281,187,0,14274
Jefferson,2020-07-14 20:14:42.442281,169,0,2367
Josephine,2020-07-14 20:14:42.442281,64,1,5045
Klamath,2020-07-14 20:14:42.442281,140,1,5683
Lake,2020-07-14 20:14:42.442281,24,0,339
Lane,2020-07-14 20:14:42.442281,317,3,28901
Lincoln,2020-07-14 20:14:42.442281,360,7,5225
Linn,2020-07-14 20:14:42.442281,184,10,8092
Malheur,2020-07-14 20:14:42.442281,434,3,2252
Marion,2020-07-14 20:14:42.442281,1939,56,21192
Morrow,2020-07-14 20:14:42.442281,161,1,698
Multnomah,2020-07-14 20:14:42.442281,3038,72,64905
Polk,2020-07-14 20:14:42.442281,180,12,3397
Sherman,2020-07-14 20:14:42.442281,5,0,192
Tillamook,2020-07-14 20:14:42.442281,19,0,1600
Umatilla,2020-07-14 20:14:42.442281,1115,8,5439
Union,2020-07-14 20:14:42.442281,372,2,1862
Wallowa,2020-07-14 20:14:42.442281,15,0,504
Wasco,2020-07-14 20:14:42.442281,119,2,2587
Washington,2020-07-14 20:14:42.442281,1945,21,41095
Wheeler,2020-07-14 20:14:42.442281,0,0,125
Yamhill,2020-07-14 20:14:42.442281,211,9,6906
Baker,2020-07-15 20:16:03.079573,13,0,669
Benton,2020-07-15 20:16:03.079573,117,6,6887
Clackamas,2020-07-15 20:16:03.079573,1051,29,29183
Clatsop,2020-07-15 20:16:03.079573,56,0,2849
Columbia,2020-07-15 20:16:03.079573,59,0,3454
Coos,2020-07-15 20:16:03.079573,58,0,3112
Crook,2020-07-15 20:16:03.079573,20,1,1236
Curry,2020-07-15 20:16:03.079573,9,0,816
Deschutes,2020-07-15 20:16:03.079573,288,1,13026
Douglas,2020-07-15 20:16:03.079573,70,1,6088
Gilliam,2020-07-15 20:16:03.079573,2,0,122
Grant,2020-07-15 20:16:03.079573,1,0,426
Harney,2020-07-15 20:16:03.079573,2,0,461
Hood River,2020-07-15 20:16:03.079573,109,0,2814
Jackson,2020-07-15 20:16:03.079573,196,0,14563
Jefferson,2020-07-15 20:16:03.079573,171,0,2405
Josephine,2020-07-15 20:16:03.079573,65,1,5145
Klamath,2020-07-15 20:16:03.079573,141,1,5807
Lake,2020-07-15 20:16:03.079573,24,0,347
Lane,2020-07-15 20:16:03.079573,324,3,29410
Lincoln,2020-07-15 20:16:03.079573,362,7,5284
Linn,2020-07-15 20:16:03.079573,186,10,8231
Malheur,2020-07-15 20:16:03.079573,449,3,2274
Marion,2020-07-15 20:16:03.079573,1975,56,21641
Morrow,2020-07-15 20:16:03.079573,165,1,812
Multnomah,2020-07-15 20:16:03.079573,3095,73,66256
Polk,2020-07-15 20:16:03.079573,184,12,3439
Sherman,2020-07-15 20:16:03.079573,5,0,193
Tillamook,2020-07-15 20:16:03.079573,20,0,1623
Umatilla,2020-07-15 20:16:03.079573,1141,8,5846
Union,2020-07-15 20:16:03.079573,376,2,1936
Wallowa,2020-07-15 20:16:03.079573,15,0,517
Wasco,2020-07-15 20:16:03.079573,121,2,2620
Washington,2020-07-15 20:16:03.079573,1994,21,42024
Wheeler,2020-07-15 20:16:03.079573,0,0,125
Yamhill,2020-07-15 20:16:03.079573,217,9,7064
Baker,2020-07-16 20:21:07.683360,13,0,675
Benton,2020-07-16 20:21:07.683360,122,6,6979
Clackamas,2020-07-16 20:21:07.683360,1079,29,29880
Clatsop,2020-07-16 20:21:07.683360,58,0,2886
Columbia,2020-07-16 20:21:07.683360,59,0,3508
Coos,2020-07-16 20:21:07.683360,60,0,3128
Crook,2020-07-16 20:21:07.683360,20,1,1257
Curry,2020-07-16 20:21:07.683360,9,0,826
Deschutes,2020-07-16 20:21:07.683360,316,1,13267
Douglas,2020-07-16 20:21:07.683360,74,1,6200
Gilliam,2020-07-16 20:21:07.683360,2,0,125
Grant,2020-07-16 20:21:07.683360,1,0,427
Harney,2020-07-16 20:21:07.683360,2,0,467
Hood River,2020-07-16 20:21:07.683360,114,0,2879
Jackson,2020-07-16 20:21:07.683360,203,0,14737
Jefferson,2020-07-16 20:21:07.683360,177,0,2443
Josephine,2020-07-16 20:21:07.683360,65,1,5260
Klamath,2020-07-16 20:21:07.683360,144,1,5866
Lake,2020-07-16 20:21:07.683360,24,0,361
Lane,2020-07-16 20:21:07.683360,336,3,30030
Lincoln,2020-07-16 20:21:07.683360,364,7,5349
Linn,2020-07-16 20:21:07.683360,190,10,8355
Malheur,2020-07-16 20:21:07.683360,465,5,2505
Marion,2020-07-16 20:21:07.683360,2028,56,22095
Morrow,2020-07-16 20:21:07.683360,173,1,828
Multnomah,2020-07-16 20:21:07.683360,3199,73,68007
Polk,2020-07-16 20:21:07.683360,191,12,3534
Sherman,2020-07-16 20:21:07.683360,5,0,196
Tillamook,2020-07-16 20:21:07.683360,22,0,1657
Umatilla,2020-07-16 20:21:07.683360,1189,8,6004
Union,2020-07-16 20:21:07.683360,377,2,1961
Wallowa,2020-07-16 20:21:07.683360,15,0,523
Wasco,2020-07-16 20:21:07.683360,123,2,2675
Washington,2020-07-16 20:21:07.683360,2070,21,43150
Wheeler,2020-07-16 20:21:07.683360,0,0,130
Yamhill,2020-07-16 20:21:07.683360,220,9,7267
Baker,2020-07-17 20:18:57.095824,13,0,691
Benton,2020-07-17 20:18:57.095824,124,6,7040
Clackamas,2020-07-17 20:18:57.095824,1097,30,30336
Clatsop,2020-07-17 20:18:57.095824,59,0,2927
Columbia,2020-07-17 20:18:57.095824,61,0,3566
Coos,2020-07-17 20:18:57.095824,64,0,3164
Crook,2020-07-17 20:18:57.095824,20,1,1263
Curry,2020-07-17 20:18:57.095824,9,0,834
Deschutes,2020-07-17 20:18:57.095824,328,1,13394
Douglas,2020-07-17 20:18:57.095824,78,1,6243
Gilliam,2020-07-17 20:18:57.095824,2,0,131
Grant,2020-07-17 20:18:57.095824,1,0,435
Harney,2020-07-17 20:18:57.095824,2,0,471
Hood River,2020-07-17 20:18:57.095824,116,0,2937
Jackson,2020-07-17 20:18:57.095824,215,0,14938
Jefferson,2020-07-17 20:18:57.095824,184,0,2470
Josephine,2020-07-17 20:18:57.095824,66,1,5363
Klamath,2020-07-17 20:18:57.095824,146,1,5886
Lake,2020-07-17 20:18:57.095824,24,0,367
Lane,2020-07-17 20:18:57.095824,346,3,30811
Lincoln,2020-07-17 20:18:57.095824,365,7,5386
Linn,2020-07-17 20:18:57.095824,193,10,8466
Malheur,2020-07-17 20:18:57.095824,473,5,2528
Marion,2020-07-17 20:18:57.095824,2063,57,22453
Morrow,2020-07-17 20:18:57.095824,176,1,858
Multnomah,2020-07-17 20:18:57.095824,3285,74,69109
Polk,2020-07-17 20:18:57.095824,193,12,3568
Sherman,2020-07-17 20:18:57.095824,5,0,199
Tillamook,2020-07-17 20:18:57.095824,22,0,1681
Umatilla,2020-07-17 20:18:57.095824,1227,9,6250
Union,2020-07-17 20:18:57.095824,379,2,2010
Wallowa,2020-07-17 20:18:57.095824,15,0,530
Wasco,2020-07-17 20:18:57.095824,124,3,2717
Washington,2020-07-17 20:18:57.095824,2105,21,43848
Wheeler,2020-07-17 20:18:57.095824,0,0,130
Yamhill,2020-07-17 20:18:57.095824,222,9,7393
Baker,2020-07-18 20:25:25.641053,13,0,691
Benton,2020-07-18 20:25:25.641053,124,6,7040
Clackamas,2020-07-18 20:25:25.641053,1097,30,30336
Clatsop,2020-07-18 20:25:25.641053,59,0,2927
Columbia,2020-07-18 20:25:25.641053,61,0,3566
Coos,2020-07-18 20:25:25.641053,64,0,3164
Crook,2020-07-18 20:25:25.641053,20,1,1263
Curry,2020-07-18 20:25:25.641053,9,0,834
Deschutes,2020-07-18 20:25:25.641053,328,1,13394
Douglas,2020-07-18 20:25:25.641053,78,1,6243
Gilliam,2020-07-18 20:25:25.641053,2,0,131
Grant,2020-07-18 20:25:25.641053,1,0,435
Harney,2020-07-18 20:25:25.641053,2,0,471
Hood River,2020-07-18 20:25:25.641053,116,0,2937
Jackson,2020-07-18 20:25:25.641053,215,0,14938
Jefferson,2020-07-18 20:25:25.641053,184,0,2470
Josephine,2020-07-18 20:25:25.641053,66,1,5363
Klamath,2020-07-18 20:25:25.641053,146,1,5886
Lake,2020-07-18 20:25:25.641053,24,0,367
Lane,2020-07-18 20:25:25.641053,346,3,30811
Lincoln,2020-07-18 20:25:25.641053,365,7,5386
Linn,2020-07-18 20:25:25.641053,193,10,8466
Malheur,2020-07-18 20:25:25.641053,473,5,2528
Marion,2020-07-18 20:25:25.641053,2063,57,22453
Morrow,2020-07-18 20:25:25.641053,176,1,858
Multnomah,2020-07-18 20:25:25.641053,3285,74,69109
Polk,2020-07-18 20:25:25.641053,193,12,3568
Sherman,2020-07-18 20:25:25.641053,5,0,199
Tillamook,2020-07-18 20:25:25.641053,22,0,1681
Umatilla,2020-07-18 20:25:25.641053,1227,9,6250
Union,2020-07-18 20:25:25.641053,379,2,2010
Wallowa,2020-07-18 20:25:25.641053,15,0,530
Wasco,2020-07-18 20:25:25.641053,124,3,2717
Washington,2020-07-18 20:25:25.641053,2105,21,43848
Wheeler,2020-07-18 20:25:25.641053,0,0,130
Yamhill,2020-07-18 20:25:25.641053,222,9,7393
Baker,2020-07-19 20:15:06.150353,13,0,691
Benton,2020-07-19 20:15:06.150353,124,6,7040
Clackamas,2020-07-19 20:15:06.150353,1097,30,30336
Clatsop,2020-07-19 20:15:06.150353,59,0,2927
Columbia,2020-07-19 20:15:06.150353,61,0,3566
Coos,2020-07-19 20:15:06.150353,64,0,3164
Crook,2020-07-19 20:15:06.150353,20,1,1263
Curry,2020-07-19 20:15:06.150353,9,0,834
Deschutes,2020-07-19 20:15:06.150353,328,1,13394
Douglas,2020-07-19 20:15:06.150353,78,1,6243
Gilliam,2020-07-19 20:15:06.150353,2,0,131
Grant,2020-07-19 20:15:06.150353,1,0,435
Harney,2020-07-19 20:15:06.150353,2,0,471
Hood River,2020-07-19 20:15:06.150353,116,0,2937
Jackson,2020-07-19 20:15:06.150353,215,0,14938
Jefferson,2020-07-19 20:15:06.150353,184,0,2470
Josephine,2020-07-19 20:15:06.150353,66,1,5363
Klamath,2020-07-19 20:15:06.150353,146,1,5886
Lake,2020-07-19 20:15:06.150353,24,0,367
Lane,2020-07-19 20:15:06.150353,346,3,30811
Lincoln,2020-07-19 20:15:06.150353,365,7,5386
Linn,2020-07-19 20:15:06.150353,193,10,8466
Malheur,2020-07-19 20:15:06.150353,473,5,2528
Marion,2020-07-19 20:15:06.150353,2063,57,22453
Morrow,2020-07-19 20:15:06.150353,176,1,858
Multnomah,2020-07-19 20:15:06.150353,3285,74,69109
Polk,2020-07-19 20:15:06.150353,193,12,3568
Sherman,2020-07-19 20:15:06.150353,5,0,199
Tillamook,2020-07-19 20:15:06.150353,22,0,1681
Umatilla,2020-07-19 20:15:06.150353,1227,9,6250
Union,2020-07-19 20:15:06.150353,379,2,2010
Wallowa,2020-07-19 20:15:06.150353,15,0,530
Wasco,2020-07-19 20:15:06.150353,124,3,2717
Washington,2020-07-19 20:15:06.150353,2105,21,43848
Wheeler,2020-07-19 20:15:06.150353,0,0,130
Yamhill,2020-07-19 20:15:06.150353,222,9,7393
Baker,2020-07-20 20:18:30.197830,13,0,724
Benton,2020-07-20 20:18:30.197830,128,6,7185
Clackamas,2020-07-20 20:18:30.197830,1141,30,31491
Clatsop,2020-07-20 20:18:30.197830,64,0,3090
Columbia,2020-07-20 20:18:30.197830,62,0,3714
Coos,2020-07-20 20:18:30.197830,69,0,3309
Crook,2020-07-20 20:18:30.197830,28,1,1331
Curry,2020-07-20 20:18:30.197830,10,0,854
Deschutes,2020-07-20 20:18:30.197830,371,1,14218
Douglas,2020-07-20 20:18:30.197830,87,1,6536
Gilliam,2020-07-20 20:18:30.197830,2,0,137
Grant,2020-07-20 20:18:30.197830,1,0,442
Harney,2020-07-20 20:18:30.197830,3,0,483
Hood River,2020-07-20 20:18:30.197830,132,0,3084
Jackson,2020-07-20 20:18:30.197830,242,0,15519
Jefferson,2020-07-20 20:18:30.197830,206,0,2590
Josephine,2020-07-20 20:18:30.197830,72,1,5558
Klamath,2020-07-20 20:18:30.197830,155,1,6158
Lake,2020-07-20 20:18:30.197830,29,0,382
Lane,2020-07-20 20:18:30.197830,398,3,32291
Lincoln,2020-07-20 20:18:30.197830,371,8,5641
Linn,2020-07-20 20:18:30.197830,199,10,8756
Malheur,2020-07-20 20:18:30.197830,499,5,2613
Marion,2020-07-20 20:18:30.197830,2170,62,24003
Morrow,2020-07-20 20:18:30.197830,195,1,926
Multnomah,2020-07-20 20:18:30.197830,3566,75,72388
Polk,2020-07-20 20:18:30.197830,204,12,3737
Sherman,2020-07-20 20:18:30.197830,8,0,207
Tillamook,2020-07-20 20:18:30.197830,23,0,1748
Umatilla,2020-07-20 20:18:30.197830,1381,9,6813
Union,2020-07-20 20:18:30.197830,383,2,2114
