Cases: Age [0-9],Cases: Age [10-19],Cases: Age [20-29],Cases: Age [30-39],Cases: Age [40-49],Cases: Age [50-59],Cases: Age [60-69],Cases: Age [70-79],Cases: Age [80+],Cases: Age [NA]},Hospitalized: Age [0-9],Hospitalized: Age [10-19],Hospitalized: Age [20-29],Hospitalized: Age [30-39],Hospitalized: Age [40-49],Hospitalized: Age [50-59],Hospitalized: Age [60-69],Hospitalized: Age [70-79],Hospitalized: Age [80+],Hospitalized: Age [NA]},Deaths: Age [0-9],Deaths: Age [10-19],Deaths: Age [20-29],Deaths: Age [30-39],Deaths: Age [40-49],Deaths: Age [50-59],Deaths: Age [60-69],Deaths: Age [70-79],Deaths: Age [80+],Deaths: Age [NA]},Cases: Female,Cases: Male,Cases: NA Gender,Deaths: Female,Deaths: Male,Deaths: NA Gender,Hospitalized: yes,Hospitalized: no,Hospitalized: unknown,Available Adult ICU Beds,Total ICU Beds,Available Adult non-ICU Beds,Total Adult non-ICU Beds,Available Pediatric NICU/PICU Beds,Total Pediatric NICU/PICU Beds,Available Pediatric non-ICU Beds,Total Pediatric non-ICU Beds,Available Ventilators,Currently Hospitalized: COVID-19 Confirmed and Suspected,Patients in ICU Beds: COVID-19 Confirmed and Suspected,Patients on Ventilators: COVID-19 Confirmed and Suspected,Currently Hospitalized: COVID-19 Confirmed,Patients in ICU Beds: COVID-19 Confirmed,Patients on Ventilators: COVID-19 Confirmed,pullTime
12,60,328,418,444,471,415,256,169,6,3,1,24,35,75,93,155,116,86,3,0,0,0,0,3,3,20,30,48,0,1397,1171,10,44,60,0,591,1833,155,250,827,1868,7490,69,292,157,349,797,208,49,23,105,37,21,2020-05-01 21:05:03.794851
13,64,338,430,454,479,420,260,171,6,3,1,24,35,76,93,155,118,86,4,0,0,0,0,3,3,21,33,49,0,1426,1200,8,46,63,0,595,1884,156,265,827,1852,7471,79,292,158,349,798,209,50,22,98,33,19,2020-05-02 20:34:07.099878
13,65,352,438,462,483,423,264,175,5,3,1,24,37,76,93,155,120,86,3,0,0,0,0,3,3,21,33,49,0,1449,1221,9,46,63,0,598,1922,160,295,827,1935,7471,72,292,157,349,800,205,46,21,92,33,18,2020-05-03 20:33:35.825571
13,74,369,446,476,498,424,270,181,8,3,2,24,40,78,95,157,120,86,3,0,0,0,0,3,3,21,33,49,0,1489,1268,1,46,63,0,608,1976,175,276,827,1912,7463,71,292,152,349,804,207,41,17,90,26,15,2020-05-04 19:46:27.852258
13,77,380,462,487,509,428,278,194,11,3,3,26,41,77,99,157,123,89,4,0,0,0,0,3,3,21,36,50,0,1536,1301,1,46,67,0,622,2037,180,266,823,1925,6966,70,292,147,349,798,219,49,25,93,27,17,2020-05-05 20:20:06.307259
14,81,387,477,503,521,432,284,206,11,4,3,25,43,79,104,158,125,97,3,0,0,0,0,3,3,20,36,53,0,1571,1343,1,46,69,0,641,2088,187,263,823,1872,6971,85,286,151,349,775,191,47,20,91,26,15,2020-05-06 20:17:08.301389
15,83,404,492,512,533,438,293,209,10,4,3,24,42,78,105,158,130,98,3,0,0,0,0,3,3,22,37,56,0,1613,1374,1,50,71,0,645,2139,205,245,807,1895,6876,84,302,149,332,797,171,48,23,76,23,16,2020-05-07 20:56:27.622781
17,87,422,513,523,544,447,295,210,10,4,2,25,43,83,109,160,131,99,3,0,0,0,0,3,4,22,37,58,0,1657,1409,1,52,72,0,659,2200,209,241,807,1899,6866,81,302,149,331,792,159,42,18,75,24,16,2020-05-08 22:05:12.433998
21,92,438,532,545,557,454,298,211,12,4,2,25,42,83,109,161,132,99,5,0,0,0,0,3,5,22,38,59,0,1700,1458,1,54,73,0,662,2269,229,219,812,1905,6942,77,302,148,332,799,139,34,19,64,18,14,2020-05-09 20:40:50.654983
24,97,450,545,553,566,460,300,214,19,4,2,25,43,83,110,161,132,101,9,0,0,0,0,3,5,22,38,59,0,1735,1490,2,54,73,0,670,2324,234,230,812,1913,6939,75,302,155,332,793,164,45,22,63,17,14,2020-05-10 20:06:23.621978
27,103,459,560,565,574,464,304,220,10,5,1,25,44,83,112,161,135,103,4,0,0,0,0,3,5,23,39,60,0,1762,1523,0,55,75,0,673,2382,231,265,786,1927,6812,64,302,164,332,786,164,40,23,59,16,15,2020-05-11 20:50:37.906593
28,106,476,577,577,582,471,311,221,9,5,1,25,42,83,112,161,137,103,4,0,0,0,0,3,5,23,39,60,0,1795,1560,2,55,75,0,673,2449,236,195,796,1729,6877,72,302,132,332,771,165,39,25,57,18,15,2020-05-12 20:16:25.985136
30,110,488,587,587,590,478,314,223,9,5,1,25,43,83,112,162,138,105,4,0,0,0,0,3,5,23,39,64,0,1825,1590,0,58,76,0,678,2511,227,209,791,1787,6763,82,299,138,346,776,162,38,17,53,17,13,2020-05-13 20:08:11.883187
32,113,498,596,597,602,487,321,222,11,5,1,25,43,83,113,163,142,106,4,0,0,0,0,3,5,26,39,64,0,1851,1627,0,58,79,0,685,2552,242,191,791,1706,6715,74,302,143,347,784,163,38,17,59,22,12,2020-05-14 21:04:30.999316
35,116,513,604,607,612,496,324,224,10,5,1,25,43,84,116,164,143,106,4,0,0,0,0,3,5,26,39,64,0,1877,1663,0,58,79,0,691,2605,245,198,781,1628,6759,67,302,132,345,791,161,46,19,54,20,14,2020-05-15 20:23:44.511030
39,119,527,613,621,631,500,327,224,11,5,2,26,45,84,118,166,143,106,4,0,0,0,0,3,5,26,39,64,0,1905,1702,4,58,79,0,699,2660,253,204,798,1645,6768,84,302,120,346,791,153,48,16,56,25,13,2020-05-16 19:58:24.462901
40,119,529,616,620,631,503,328,225,12,5,2,26,45,84,118,167,144,108,4,0,0,0,0,3,5,26,39,64,0,1910,1708,4,58,79,0,703,2684,236,245,798,1961,6762,88,302,139,346,800,156,37,16,54,20,12,2020-05-17 19:55:56.596178
41,126,541,624,632,647,508,329,229,10,5,2,26,46,85,118,168,144,110,4,0,0,0,0,3,5,27,39,64,0,1939,1744,3,58,80,0,708,2717,262,250,800,1939,6776,84,302,145,346,794,137,43,13,52,20,9,2020-05-18 20:19:38.149254
41,134,551,633,636,654,510,329,228,10,5,2,29,45,85,120,169,145,110,4,0,0,0,0,3,5,28,40,64,0,1963,1759,3,59,81,0,714,2754,258,250,800,1939,6776,84,302,145,346,794,137,43,13,52,20,9,2020-05-19 20:00:21.639865
44,139,568,646,655,667,516,338,228,0,5,3,31,45,86,122,172,148,111,0,0,0,0,0,3,5,29,41,66,0,1995,1802,3,61,83,0,723,2820,258,196,815,1672,6742,78,316,127,346,780,152,42,17,53,25,13,2020-05-20 20:06:07.427388
46,142,572,649,657,669,515,336,230,1,5,3,33,46,87,124,172,148,113,1,0,0,0,0,3,5,29,41,6,0,2003,1809,4,62,83,0,732,2840,245,191,821,1649,6748,74,313,144,347,784,140,40,14,51,27,12,2020-05-21 20:59:22.991002
50,148,581,657,665,677,517,338,231,0,6,3,33,46,89,128,173,148,111,0,0,0,0,0,3,6,29,41,68,0,2029,1830,4,62,85,0,737,2875,252,185,798,1664,6756,82,314,136,338,785,146,47,16,51,25,13,2020-05-22 20:07:27.446691
50,147,592,657,671,681,520,337,232,1,6,3,33,46,89,128,173,150,112,0,0,0,0,0,3,6,29,41,68,0,2039,1843,5,62,85,0,740,2909,239,180,797,1719,6742,89,314,125,339,783,102,41,15,47,23,12,2020-05-23 20:43:24.808899
53,148,602,666,679,683,524,340,232,0,6,3,33,47,90,127,172,152,112,0,0,0,0,0,3,6,29,41,69,0,2058,1863,5,63,85,0,742,2946,239,206,788,1721,6671,93,314,144,339,786,117,35,18,52,22,15,2020-05-24 20:35:17.816295
53,151,605,673,683,685,526,341,232,0,6,3,33,47,91,128,173,153,113,0,0,0,0,0,3,6,29,41,69,0,2071,1874,3,63,85,0,747,2969,233,247,736,1915,6439,99,281,156,330,784,128,35,23,47,23,16,2020-05-25 20:51:38.553294
53,151,608,672,686,694,531,340,232,0,6,4,33,47,92,129,174,154,113,0,0,0,0,0,3,6,29,41,69,0,2082,1881,3,63,85,0,752,2993,222,196,736,1671,6424,95,281,124,329,798,149,40,17,53,24,13,2020-05-26 21:05:38.604765
56,154,640,685,693,701,537,340,232,0,6,4,33,48,94,131,176,154,113,0,0,0,0,0,3,6,29,41,69,0,2103,1930,4,63,85,0,759,3023,256,198,772,1019,4516,92,281,129,339,797,146,35,16,55,19,12,2020-05-27 20:41:30.762309
57,154,652,694,698,708,543,346,233,1,6,4,33,49,95,132,176,157,115,1,0,0,0,0,3,6,29,44,69,0,2126,1956,3,64,87,0,768,3043,275,201,780,1072,4520,97,287,141,347,790,149,32,17,53,18,12,2020-05-28 20:18:16.079736
57,161,660,702,711,714,547,345,233,1,6,4,35,50,95,132,175,158,115,1,0,0,0,0,3,6,29,44,69,0,2147,1983,0,64,87,0,771,3072,288,180,774,987,4536,94,291,133,338,786,155,36,21,51,18,13,2020-05-29 20:01:23.232016
57,165,669,721,719,721,550,347,235,1,6,4,37,53,95,132,175,159,116,1,0,0,0,0,3,6,30,44,70,0,2168,2015,1,65,88,0,778,3128,279,190,771,987,4545,84,282,114,334,787,131,32,17,48,22,14,2020-05-30 19:52:55.674780
58,169,679,731,729,727,556,356,237,1,6,4,39,53,97,132,176,162,116,1,0,0,0,0,3,6,30,44,70,0,2204,2037,1,65,88,0,786,3175,282,238,769,1212,4548,95,282,118,334,793,117,33,17,50,19,13,2020-05-31 20:13:12.824520
65,179,689,737,747,732,557,357,239,0,6,4,40,53,98,133,176,163,117,0,0,0,0,0,3,7,30,44,70,0,2236,2063,2,65,89,0,790,3211,301,268,768,1199,4561,102,282,159,334,792,108,32,17,50,19,13,2020-06-01 20:10:41.990202
65,181,694,747,753,737,560,358,239,1,6,4,41,54,98,135,176,163,118,0,0,0,0,1,3,7,31,44,71,0,2253,2079,2,68,89,0,795,3249,291,203,770,1062,4561,90,282,126,334,788,102,29,15,46,17,10,2020-06-02 20:18:52.747214
68,185,710,758,761,748,566,359,244,0,6,4,41,54,97,136,179,165,118,0,0,0,0,1,3,7,33,44,71,0,2289,2106,3,68,91,0,800,3300,299,206,762,1022,4575,86,282,136,334,779,112,27,10,52,17,8,2020-06-03 19:57:55.558479
73,189,739,769,774,756,569,359,246,0,6,4,41,55,100,138,180,168,120,0,0,0,0,1,3,7,33,44,71,0,2316,2155,2,68,91,0,812,3470,192,176,756,981,4566,90,286,132,336,783,124,40,13,56,22,10,2020-06-04 20:31:54.789669
85,194,755,788,789,768,572,363,252,4,6,4,41,56,100,142,180,168,122,0,0,0,0,1,3,7,34,44,72,0,2364,2201,4,69,92,0,819,3578,173,176,754,957,4560,87,286,125,336,779,121,39,16,59,24,11,2020-06-05 20:16:17.103773
85,194,755,788,789,768,572,363,252,4,6,4,41,56,100,142,180,168,122,0,0,0,0,1,3,7,34,44,72,0,2364,2201,4,69,92,0,819,3578,173,176,754,957,4560,87,286,125,336,779,121,39,16,59,24,11,2020-06-06 20:35:03.266818
85,194,755,788,789,768,572,363,252,4,6,4,41,56,100,142,180,168,122,0,0,0,0,1,3,7,34,44,72,0,2364,2201,4,69,92,0,819,3578,173,176,754,957,4560,87,286,125,336,779,121,39,16,59,24,11,2020-06-07 20:33:19.356548
90,222,854,850,849,806,595,378,272,6,7,4,41,61,102,147,184,172,124,1,0,0,0,1,3,8,34,46,72,0,2534,2382,5,70,94,0,843,3733,346,197,761,1133,4535,71,286,130,341,779,137,43,18,65,24,14,2020-06-08 20:30:46.059227
96,228,866,863,855,815,600,384,275,6,7,4,41,63,102,148,185,174,126,1,0,0,0,1,3,8,35,48,74,0,2564,2417,6,70,99,0,851,3795,342,190,757,1026,4514,77,286,127,341,781,145,47,20,63,30,16,2020-06-09 20:33:33.881848
100,237,883,875,869,824,604,387,276,5,7,4,41,65,102,150,187,175,126,0,0,0,0,1,3,8,35,48,74,0,2606,2447,6,70,99,0,857,3873,330,175,758,889,4527,80,286,136,340,784,136,40,18,62,30,17,2020-06-10 20:36:50.698452
103,249,921,915,904,855,618,390,278,4,7,4,42,65,104,153,188,175,126,0,0,0,0,1,3,8,36,48,75,0,2702,2530,4,71,100,0,864,3988,385,189,786,904,4524,83,291,118,339,786,130,39,19,65,31,16,2020-06-11 20:31:17.967189
114,262,954,935,920,877,627,401,282,5,7,4,43,67,106,156,189,177,126,0,0,0,0,1,3,8,37,48,76,0,2772,2599,5,71,102,0,875,4085,417,158,790,882,4478,75,283,111,339,792,133,47,15,69,36,14,2020-06-12 20:27:13.375130
114,262,954,935,920,877,627,401,282,5,7,4,43,67,106,156,189,177,126,0,0,0,0,1,3,8,37,48,76,0,2772,2599,5,71,102,0,875,4085,417,158,790,882,4478,75,283,111,339,792,133,47,15,69,36,14,2020-06-13 20:44:15.935418
114,262,954,935,920,877,627,401,282,5,7,4,43,67,106,156,189,177,126,0,0,0,0,1,3,8,37,48,76,0,2772,2599,5,71,102,0,875,4085,417,158,790,882,4478,75,283,111,339,792,133,47,15,69,36,14,2020-06-14 20:03:43.850349
143,324,1052,1022,979,924,660,415,292,9,7,4,43,70,108,160,196,178,132,1,0,0,0,1,3,8,38,51,79,0,2994,2816,9,76,104,0,899,4398,523,222,771,1084,4424,77,282,133,345,790,125,50,19,72,38,17,2020-06-15 20:27:58.543081
172,369,1110,1075,1011,954,677,423,297,10,7,4,42,72,109,163,199,180,134,2,0,0,0,1,3,8,38,51,81,0,3124,2954,19,77,105,0,912,4496,690,175,773,830,4445,66,282,101,345,783,141,50,22,80,38,19,2020-06-16 20:29:54.658960
183,392,1129,1095,1028,966,689,423,303,10,7,4,45,72,109,168,203,183,135,3,0,0,0,1,3,8,38,51,82,0,3193,3008,16,78,105,0,929,4645,644,168,770,794,4444,76,282,113,345,791,158,54,26,85,38,22,2020-06-17 20:34:40.883387
194,407,1171,1113,1060,983,696,428,307,7,7,4,45,72,112,169,204,183,136,1,0,0,0,1,3,8,38,52,85,0,3262,3088,15,79,108,0,933,4831,602,184,767,827,4419,71,282,122,345,794,141,46,28,89,35,22,2020-06-18 21:07:45.939798
208,426,1205,1158,1093,1007,714,441,311,9,7,4,46,72,115,172,205,184,139,2,0,0,0,1,3,8,38,52,86,0,3368,3184,19,80,108,0,946,4986,640,159,763,840,4357,70,282,129,345,792,154,50,29,92,38,22,2020-06-19 19:51:23.127123
208,426,1205,1158,1093,1007,714,441,311,9,7,4,46,72,115,172,205,184,139,2,0,0,0,1,3,8,38,52,86,0,3368,3184,19,80,108,0,946,4986,640,159,763,840,4357,70,282,129,345,792,154,50,29,92,38,22,2020-06-20 21:23:28.143816
208,426,1205,1158,1093,1007,714,441,311,9,7,4,46,72,115,172,205,184,139,2,0,0,0,1,3,8,38,52,86,0,3368,3184,19,80,108,0,946,4986,640,159,763,840,4357,70,282,129,345,792,154,50,29,92,38,22,2020-06-21 20:57:42.607445
234,469,1334,1260,1169,1063,742,466,336,10,7,4,51,75,118,172,209,186,145,2,0,0,0,1,3,9,39,52,88,0,3637,3424,121,82,110,0,969,5373,741,153,770,858,4421,79,286,122,350,789,145,48,27,93,39,24,2020-06-22 20:01:03.808225
247,494,1380,1282,1205,1076,756,473,345,16,7,4,51,77,119,173,211,193,146,2,0,0,0,1,3,9,39,52,88,0,3733,3519,21,82,110,0,983,5531,760,147,770,848,4398,77,286,111,350,782,184,58,28,97,45,25,2020-06-23 19:23:52.303334
247,494,1380,1282,1205,1076,756,473,345,16,7,4,51,77,119,173,211,193,146,2,0,0,0,1,3,9,39,52,88,0,3733,3519,21,82,110,0,983,5531,760,147,770,848,4398,77,286,111,350,782,184,58,28,97,45,25,2020-06-24 10:39:08.414674
256,503,1418,1312,1248,1098,769,480,347,13,7,5,52,79,122,176,219,195,149,2,0,0,0,1,3,9,40,53,89,0,3830,3593,20,83,112,0,1006,5733,705,147,769,764,4422,73,286,109,350,778,185,59,29,89,40,25,2020-06-24 21:20:45.750517
269,520,1445,1335,1262,1116,778,485,349,9,7,5,54,79,121,181,220,197,148,0,0,0,0,1,3,9,40,53,91,0,3899,3654,14,84,113,0,1012,5882,674,150,768,682,4418,77,286,119,352,786,189,60,29,95,42,23,2020-06-25 20:02:15.468732
286,553,1499,1378,1296,1148,794,499,354,11,6,5,57,81,123,181,222,197,150,0,0,0,0,1,3,9,40,55,94,0,4029,3781,7,88,114,0,1022,6083,713,154,771,688,4435,108,322,109,352,785,149,53,35,98,39,27,2020-06-26 19:41:00.041713
286,553,1499,1378,1296,1148,794,499,354,11,6,5,57,81,123,181,222,197,150,0,0,0,0,1,3,9,40,55,94,0,4029,3781,7,88,114,0,1022,6083,713,154,771,688,4435,108,322,109,352,785,149,53,35,98,39,27,2020-06-27 21:30:42.875731
286,553,1499,1378,1296,1148,794,499,354,11,6,5,57,81,123,181,222,197,150,0,0,0,0,1,3,9,40,55,94,0,4029,3781,7,88,114,0,1022,6083,713,154,771,688,4435,108,322,109,352,785,149,53,35,98,39,27,2020-06-28 20:05:42.343890
