CaseAge0_19,CaseAge20_29,CaseAge30_39,CaseAge40_49,CaseAge50_59,CaseAge60_69,CaseAge70_79,CaseAge80_plus,CaseSexFemale,CaseSexMale,CaseSexUnknown,DocUpdateDate,QuarantineComplete,QuarantineCurrent,QuarantineEver,QuarantineUpdate,Scrape_Time
312,1876,2217,2245,2685,1922,1210,1370,7249,6552,36,2020-04-06,3218,5176,8394,2020-03-31,2020-04-06 22:12:55.063946
338,2013,2389,2408,2886,2148,1381,1639,7995,7161,46,2020-04-07,3218,5176,8394,2020-03-31,2020-04-07 20:15:00.975991

