# Confirmatory Lab Tests,% Cases Race/Ethnicity: Black,% Cases Race/Ethnicity: Other,% Cases Race/Ethnicity: White,County Name,Scrape Time,Total Cases: Female,Total Cases: Male,Total Confirmatory Tests: Female,Total Confirmatory Tests: Male,Total Confirmed Cases,Total Deaths: ,Total Probable Cases,Total Recovered
2841,0.00,13.33,86.67,Wyoming,2020-08-11 20:10:59.412573,21,13,2841,2841,34,2,0,17
2993,0.00,18.52,81.48,Barbour,2020-08-12 20:35:24.075591,15,14,2993,2993,29,1,0,23
15506,11.21,14.04,74.75,Berkeley,2020-08-12 20:35:24.075591,370,343,15506,15506,685,11,28,608
3768,0.00,0.00,100.00,Boone,2020-08-12 20:35:24.075591,56,53,3768,3768,109,0,0,71
1402,0.00,25.00,75.00,Braxton,2020-08-12 20:35:24.075591,3,5,1402,1402,8,0,0,8
3568,1.56,3.13,95.31,Brooke,2020-08-12 20:35:24.075591,37,31,3568,3568,69,1,1,57
31865,10.68,6.07,83.25,Cabell,2020-08-12 20:35:24.075591,210,217,31865,31865,418,3,10,223
1200,0.00,0.00,100.00,Calhoun,2020-08-12 20:35:24.075591,2,4,1200,1200,6,0,0,6
1185,0.00,0.00,100.00,Clay,2020-08-12 20:35:24.075591,8,10,1185,1185,18,1,0,15
527,0.00,0.00,100.00,Doddridge,2020-08-12 20:35:24.075591,2,4,527,527,6,0,0,4
9358,3.27,7.84,88.89,Fayette,2020-08-12 20:35:24.075591,88,66,9358,9358,154,7,1,112
1540,35.29,5.88,58.82,Gilmer,2020-08-12 20:35:24.075591,7,10,1540,1540,17,0,0,15
2352,0.86,20.69,78.45,Grant,2020-08-12 20:35:24.075591,74,55,2352,2352,128,4,1,40
7093,2.22,4.44,93.33,Greenbrier,2020-08-12 20:35:24.075591,52,40,7093,7093,92,3,0,78
3171,1.25,0.00,98.75,Hampshire,2020-08-12 20:35:24.075591,37,43,3171,3171,80,1,0,70
7688,4.63,2.78,92.59,Hancock,2020-08-12 20:35:24.075591,59,48,7688,7688,107,0,4,89
2116,22.03,11.86,66.10,Hardy,2020-08-12 20:35:24.075591,34,27,2116,2116,60,0,1,57
10951,1.31,6.11,92.58,Harrison,2020-08-12 20:35:24.075591,126,109,10951,10951,232,1,3,185
3032,0.00,1.21,98.79,Jackson,2020-08-12 20:35:24.075591,109,57,3032,3032,166,19,0,135
9235,7.43,18.92,73.65,Jefferson,2020-08-12 20:35:24.075591,149,150,9235,9235,292,4,7,281
35933,14.25,13.22,72.53,Kanawha,2020-08-12 20:35:24.075591,537,430,35933,35933,962,24,14,655
3686,0.00,14.29,85.71,Lewis,2020-08-12 20:35:24.075591,12,14,3686,3686,27,2,1,23
3087,0.00,1.05,98.95,Lincoln,2020-08-12 20:35:24.075591,58,37,3087,3087,95,0,0,43
6564,3.64,11.34,85.02,Logan,2020-08-12 20:35:24.075591,148,115,6564,6564,264,7,0,37
10770,19.58,3.70,76.72,Marion,2020-08-12 20:35:24.075591,107,85,10770,10770,189,2,4,140
5001,0.78,4.65,94.57,Marshall,2020-08-12 20:35:24.075591,65,65,5001,5001,126,1,4,124
2695,0.00,1.52,98.48,Mason,2020-08-12 20:35:24.075591,32,29,2695,2695,66,1,0,42
2571,21.43,21.43,57.14,McDowell,2020-08-12 20:35:24.075591,32,28,2571,2571,59,0,1,14
9019,14.50,32.06,53.44,Mercer,2020-08-12 20:35:24.075591,119,85,9019,9019,208,16,1,39
4561,12.10,1.61,86.29,Mineral,2020-08-12 20:35:24.075591,65,62,4561,4561,125,4,2,103
3165,1.83,9.76,88.41,Mingo,2020-08-12 20:35:24.075591,110,72,3165,3165,181,5,2,108
26877,11.92,9.27,78.81,Monongalia,2020-08-12 20:35:24.075591,477,476,26877,26877,936,5,17,896
1937,0.00,0.00,100.00,Monroe,2020-08-12 20:35:24.075591,11,9,1937,1937,19,0,1,19
1856,0.00,0.00,100.00,Morgan,2020-08-12 20:35:24.075591,12,18,1856,1856,29,0,1,25
3135,0.00,5.00,95.00,Nicholas,2020-08-12 20:35:24.075591,28,12,3135,3135,39,1,1,26
16821,11.07,4.43,84.50,Ohio,2020-08-12 20:35:24.075591,157,115,16821,16821,269,4,3,248
1752,7.14,0.00,92.86,Pendleton,2020-08-12 20:35:24.075591,21,21,1752,1752,41,1,1,33
700,0.00,16.67,83.33,Pleasants,2020-08-12 20:35:24.075591,9,5,700,700,13,1,1,7
1311,0.00,0.00,100.00,Pocahontas,2020-08-12 20:35:24.075591,20,22,1311,1311,41,0,1,41
6030,2.42,8.06,89.52,Preston,2020-08-12 20:35:24.075591,68,57,6030,6030,104,4,21,113
7502,2.58,7.22,90.21,Putnam,2020-08-12 20:35:24.075591,102,100,7502,7502,202,0,1,159
15701,10.11,5.99,83.90,Raleigh,2020-08-12 20:35:24.075591,138,128,15701,15701,259,1,8,182
7458,5.42,29.56,65.02,Randolph,2020-08-12 20:35:24.075591,40,168,7458,7458,206,0,5,207
1737,0.00,0.00,100.00,Ritchie,2020-08-12 20:35:24.075591,0,3,1737,1737,3,0,0,3
2118,0.00,6.25,93.75,Roane,2020-08-12 20:35:24.075591,9,7,2118,2118,16,1,0,13
1990,0.00,14.29,85.71,Summers,2020-08-12 20:35:24.075591,8,7,1990,1990,15,0,0,6
4289,0.00,5.17,94.83,Taylor,2020-08-12 20:35:24.075591,29,30,4289,4289,58,1,1,48
2657,0.00,0.00,100.00,Tucker,2020-08-12 20:35:24.075591,6,4,2657,2657,10,0,0,9
852,0.00,0.00,100.00,Tyler,2020-08-12 20:35:24.075591,9,6,852,852,15,0,0,15
3139,0.00,0.00,100.00,Upshur,2020-08-12 20:35:24.075591,20,18,3139,3139,36,0,2,38
4473,0.47,0.47,99.07,Wayne,2020-08-12 20:35:24.075591,146,68,4473,4473,212,9,2,187
1002,0.00,0.00,100.00,Webster,2020-08-12 20:35:24.075591,2,2,1002,1002,4,0,0,3
2083,0.00,2.27,97.73,Wetzel,2020-08-12 20:35:24.075591,19,25,2083,2083,43,0,1,41
433,0.00,0.00,100.00,Wirt,2020-08-12 20:35:24.075591,3,4,433,433,7,0,0,6
10739,3.88,8.53,87.60,Wood,2020-08-12 20:35:24.075591,136,128,10739,10739,252,5,12,212
2881,0.00,18.18,81.82,Wyoming,2020-08-12 20:35:24.075591,24,13,2881,2881,37,2,0,18
3011,0.00,18.52,81.48,Barbour,2020-08-13 20:33:29.775044,15,14,3011,3011,29,1,0,23
15667,11.14,13.96,74.89,Berkeley,2020-08-13 20:33:29.775044,374,346,15667,15667,692,11,28,613
3808,0.00,0.00,100.00,Boone,2020-08-13 20:33:29.775044,59,53,3808,3808,112,0,0,75
1419,0.00,25.00,75.00,Braxton,2020-08-13 20:33:29.775044,3,5,1419,1419,8,0,0,8
3579,1.56,3.13,95.31,Brooke,2020-08-13 20:33:29.775044,38,31,3579,3579,69,1,1,57
32245,10.53,5.50,83.97,Cabell,2020-08-13 20:33:29.775044,212,218,32245,32245,421,3,10,225
1203,0.00,0.00,100.00,Calhoun,2020-08-13 20:33:29.775044,2,4,1203,1203,6,0,0,6
1196,0.00,0.00,100.00,Clay,2020-08-13 20:33:29.775044,8,10,1196,1196,18,1,0,15
528,0.00,0.00,100.00,Doddridge,2020-08-13 20:33:29.775044,2,4,528,528,6,0,0,4
9526,3.80,10.13,86.08,Fayette,2020-08-13 20:33:29.775044,92,67,9526,9526,159,7,1,112
1552,35.29,5.88,58.82,Gilmer,2020-08-13 20:33:29.775044,7,10,1552,1552,17,0,0,15
2430,0.85,20.51,78.63,Grant,2020-08-13 20:33:29.775044,76,55,2430,2430,130,4,1,42
7148,2.22,4.44,93.33,Greenbrier,2020-08-13 20:33:29.775044,52,40,7148,7148,92,3,0,78
3210,1.22,0.00,98.78,Hampshire,2020-08-13 20:33:29.775044,39,45,3210,3210,84,1,0,70
7726,4.59,2.75,92.66,Hancock,2020-08-13 20:33:29.775044,60,48,7726,7726,108,0,4,90
2135,22.03,11.86,66.10,Hardy,2020-08-13 20:33:29.775044,35,27,2135,2135,61,0,1,57
11082,1.29,6.01,92.70,Harrison,2020-08-13 20:33:29.775044,128,110,11082,11082,235,1,3,189
3125,0.00,1.21,98.79,Jackson,2020-08-13 20:33:29.775044,109,56,3125,3125,165,19,0,135
9409,7.97,18.94,73.09,Jefferson,2020-08-13 20:33:29.775044,152,150,9409,9409,295,4,7,281
36368,14.60,13.17,72.23,Kanawha,2020-08-13 20:33:29.775044,552,460,36368,36368,1005,24,15,675
3698,0.00,14.29,85.71,Lewis,2020-08-13 20:33:29.775044,12,14,3698,3698,27,2,1,23
3126,0.00,1.04,98.96,Lincoln,2020-08-13 20:33:29.775044,59,37,3126,3126,96,0,0,44
6725,3.44,10.69,85.88,Logan,2020-08-13 20:33:29.775044,157,118,6725,6725,276,7,0,39
10975,19.17,3.63,77.20,Marion,2020-08-13 20:33:29.775044,108,86,10975,10975,191,2,4,158
5020,0.78,4.65,94.57,Marshall,2020-08-13 20:33:29.775044,65,65,5020,5020,126,1,4,125
2716,0.00,1.49,98.51,Mason,2020-08-13 20:33:29.775044,33,31,2716,2716,67,1,0,42
2621,20.69,20.69,58.62,McDowell,2020-08-13 20:33:29.775044,34,28,2621,2621,61,0,1,14
9159,13.97,33.82,52.21,Mercer,2020-08-13 20:33:29.775044,122,89,9159,9159,215,16,1,39
4595,12.10,2.42,85.48,Mineral,2020-08-13 20:33:29.775044,62,63,4595,4595,123,4,2,103
3225,2.15,7.53,90.32,Mingo,2020-08-13 20:33:29.775044,116,78,3225,3225,193,5,2,118
27403,11.83,9.20,78.97,Monongalia,2020-08-13 20:33:29.775044,479,483,27403,27403,945,5,17,898
1968,0.00,0.00,100.00,Monroe,2020-08-13 20:33:29.775044,11,9,1968,1968,19,0,1,19
1868,0.00,0.00,100.00,Morgan,2020-08-13 20:33:29.775044,13,18,1868,1868,30,0,1,25
3176,0.00,5.13,94.87,Nicholas,2020-08-13 20:33:29.775044,27,12,3176,3176,38,1,1,26
16939,11.11,4.44,84.44,Ohio,2020-08-13 20:33:29.775044,157,114,16939,16939,268,4,3,250
1755,7.14,0.00,92.86,Pendleton,2020-08-13 20:33:29.775044,21,21,1755,1755,41,1,1,34
704,0.00,7.69,92.31,Pleasants,2020-08-13 20:33:29.775044,9,5,704,704,13,1,1,7
1319,0.00,0.00,100.00,Pocahontas,2020-08-13 20:33:29.775044,20,22,1319,1319,41,0,1,41
6110,2.42,8.87,88.71,Preston,2020-08-13 20:33:29.775044,67,58,6110,6110,104,4,21,113
7620,2.55,7.65,89.80,Putnam,2020-08-13 20:33:29.775044,102,102,7620,7620,203,0,1,159
15942,11.27,5.09,83.64,Raleigh,2020-08-13 20:33:29.775044,143,133,15942,15942,268,1,8,189
7508,5.39,29.41,65.20,Randolph,2020-08-13 20:33:29.775044,41,168,7508,7508,207,0,5,207
1743,0.00,0.00,100.00,Ritchie,2020-08-13 20:33:29.775044,0,3,1743,1743,3,0,0,3
2163,0.00,15.79,84.21,Roane,2020-08-13 20:33:29.775044,11,8,2163,2163,19,1,0,13
2026,0.00,6.67,93.33,Summers,2020-08-13 20:33:29.775044,8,8,2026,2026,16,0,0,6
4386,0.00,5.00,95.00,Taylor,2020-08-13 20:33:29.775044,30,30,4386,4386,59,1,1,48
2667,0.00,0.00,100.00,Tucker,2020-08-13 20:33:29.775044,6,5,2667,2667,11,0,0,9
862,0.00,0.00,100.00,Tyler,2020-08-13 20:33:29.775044,9,6,862,862,15,0,0,15
3159,0.00,0.00,100.00,Upshur,2020-08-13 20:33:29.775044,20,18,3159,3159,36,0,2,38
4499,0.47,0.47,99.07,Wayne,2020-08-13 20:33:29.775044,146,68,4499,4499,212,9,2,189
1009,0.00,0.00,100.00,Webster,2020-08-13 20:33:29.775044,2,2,1009,1009,4,0,0,3
2086,0.00,2.27,97.73,Wetzel,2020-08-13 20:33:29.775044,19,25,2086,2086,43,0,1,41
438,0.00,0.00,100.00,Wirt,2020-08-13 20:33:29.775044,3,4,438,438,7,0,0,6
10820,3.86,8.11,88.03,Wood,2020-08-13 20:33:29.775044,138,128,10820,10820,253,5,13,213
2952,0.00,21.05,78.95,Wyoming,2020-08-13 20:33:29.775044,27,16,2952,2952,43,2,0,18
