# Confirmatory Lab Tests,% Cases Race/Ethnicity: Black,% Cases Race/Ethnicity: Other,% Cases Race/Ethnicity: White,County Name,Scrape Time,Total Cases: Female,Total Cases: Male,Total Confirmatory Tests: Female,Total Confirmatory Tests: Male,Total Confirmed Cases,Total Deaths: ,Total Probable Cases,Total Recovered
2656,3.33,23.33,73.33,Barbour,2020-08-05 20:55:30.581396,16,13,2656,2656,30,1,0,15
14302,11.19,15.67,73.13,Berkeley,2020-08-05 20:55:30.581396,346,324,14302,14302,643,11,27,580
3534,0.00,0.00,100.00,Boone,2020-08-05 20:55:30.581396,46,46,3534,3534,92,0,0,65
1310,0.00,37.50,62.50,Braxton,2020-08-05 20:55:30.581396,3,5,1310,1310,8,0,0,7
3306,1.64,18.03,80.33,Brooke,2020-08-05 20:55:30.581396,33,26,3306,3306,60,1,1,43
28442,11.05,8.29,80.66,Cabell,2020-08-05 20:55:30.581396,173,188,28442,28442,353,2,9,187
1106,0.00,0.00,100.00,Calhoun,2020-08-05 20:55:30.581396,2,4,1106,1106,6,0,0,6
1113,0.00,0.00,100.00,Clay,2020-08-05 20:55:30.581396,8,10,1113,1113,17,1,1,14
479,0.00,0.00,100.00,Doddridge,2020-08-05 20:55:30.581396,1,3,479,479,4,0,0,0
8697,2.99,15.67,81.34,Fayette,2020-08-05 20:55:30.581396,76,58,8697,8697,134,5,0,82
979,37.50,0.00,62.50,Gilmer,2020-08-05 20:55:30.581396,6,10,979,979,16,0,0,15
1760,0.00,31.46,68.54,Grant,2020-08-05 20:55:30.581396,46,43,1760,1760,88,1,1,25
6791,2.27,3.41,94.32,Greenbrier,2020-08-05 20:55:30.581396,49,39,6791,6791,88,3,0,76
2721,1.33,1.33,97.33,Hampshire,2020-08-05 20:55:30.581396,35,40,2721,2721,75,1,0,63
7140,4.72,4.72,90.57,Hancock,2020-08-05 20:55:30.581396,58,44,7140,7140,102,0,4,78
1872,24.07,11.11,64.81,Hardy,2020-08-05 20:55:30.581396,28,26,1872,1872,53,0,1,48
9869,1.47,9.80,88.73,Harrison,2020-08-05 20:55:30.581396,112,92,9869,9869,203,1,1,160
2886,0.00,1.90,98.10,Jackson,2020-08-05 20:55:30.581396,106,52,2886,2886,158,19,0,135
8652,7.19,19.18,73.63,Jefferson,2020-08-05 20:55:30.581396,145,147,8652,8652,287,4,5,276
32660,11.33,25.23,63.43,Kanawha,2020-08-05 20:55:30.581396,479,366,32660,32660,843,22,13,522
3509,0.00,14.29,85.71,Lewis,2020-08-05 20:55:30.581396,12,14,3509,3509,27,2,1,21
2772,0.00,0.00,100.00,Lincoln,2020-08-05 20:55:30.581396,48,27,2772,2772,75,0,0,40
5269,4.94,25.31,69.75,Logan,2020-08-05 20:55:30.581396,92,69,5269,5269,162,3,0,36
