Active Cases,County Name,Deaths,FIPS,Negative Cases,Pending Cases,Positive Cases,Recovered,Scrape Time,Testing: Private Lab,Testing: Public Lab,Total Tested
54,Nevada,0,099,242,0,59,5,2020-06-08 20:26:20.850415,206,95,301
0,Newton,0,101,181,0,3,3,2020-06-08 20:26:20.850415,177,7,184
3,Ouachita,0,103,979,0,14,11,2020-06-08 20:26:20.850415,847,146,993
1,Perry,0,105,331,0,15,14,2020-06-08 20:26:20.850415,304,42,346
10,Phillips,1,107,820,0,27,16,2020-06-08 20:26:20.850415,613,234,847
2,Pike,0,109,676,0,6,4,2020-06-08 20:26:20.850415,668,14,682
13,Poinsett,2,111,789,0,44,29,2020-06-08 20:26:20.850415,785,48,833
24,Polk,0,113,557,0,45,21,2020-06-08 20:26:20.850415,465,137,602
63,Pope,2,115,3072,0,213,148,2020-06-08 20:26:20.850415,2923,362,3285
3,Prairie,0,117,145,0,5,2,2020-06-08 20:26:20.850415,129,21,150
288,Pulaski,38,119,16498,0,1118,792,2020-06-08 20:26:20.850415,15363,2253,17616
2,Randolph,0,121,1142,0,26,24,2020-06-08 20:26:20.850415,1071,97,1168
38,Saline,1,125,4522,0,147,108,2020-06-08 20:26:20.850415,4276,393,4669
1,Scott,0,127,40,0,2,1,2020-06-08 20:26:20.850415,22,20,42
0,Searcy,0,129,544,0,7,7,2020-06-08 20:26:20.850415,540,11,551
59,Sebastian,1,131,2496,0,96,36,2020-06-08 20:26:20.850415,2408,184,2592
187,Sevier,2,133,1895,0,355,166,2020-06-08 20:26:20.850415,2113,137,2250
8,Sharp,3,135,472,0,48,37,2020-06-08 20:26:20.850415,451,69,520
89,St. Francis,1,123,3238,0,755,665,2020-06-08 20:26:20.850415,3384,609,3993
3,Stone,0,137,449,0,11,8,2020-06-08 20:26:20.850415,441,19,460
24,Union,11,139,1270,0,188,153,2020-06-08 20:26:20.850415,1254,204,1458
2,Van Buren,2,141,651,0,30,26,2020-06-08 20:26:20.850415,570,111,681
688,Washington,7,143,7030,0,1097,402,2020-06-08 20:26:20.850415,5356,2771,8127
6,White,1,145,2003,0,50,43,2020-06-08 20:26:20.850415,1889,164,2053
0,Woodruff,0,147,150,0,1,1,2020-06-08 20:26:20.850415,121,30,151
103,Yell,2,149,711,0,240,135,2020-06-08 20:26:20.850415,648,303,951
4,Arkansas,0,001,473,0,7,3,2020-06-09 20:24:13.586340,448,32,480
9,Ashley,0,003,816,0,34,25,2020-06-09 20:24:13.586340,699,151,850
3,Baxter,0,005,922,0,13,10,2020-06-09 20:24:13.586340,856,79,935
539,Benton,5,007,16460,0,1090,546,2020-06-09 20:24:13.586340,16194,1356,17550
2,Boone,0,009,1091,0,7,5,2020-06-09 20:24:13.586340,1071,27,1098
14,Bradley,1,011,539,0,32,17,2020-06-09 20:24:13.586340,350,221,571
0,Calhoun,0,013,134,0,0,0,2020-06-09 20:24:13.586340,124,10,134
16,Carroll,1,015,1399,0,40,23,2020-06-09 20:24:13.586340,1187,252,1439
11,Chicot,0,017,391,0,26,15,2020-06-09 20:24:13.586340,345,72,417
4,Clark,0,019,879,0,41,37,2020-06-09 20:24:13.586340,629,291,920
3,Clay,0,021,706,0,7,4,2020-06-09 20:24:13.586340,698,15,713
2,Cleburne,4,023,968,0,75,69,2020-06-09 20:24:13.586340,945,98,1043
0,Cleveland,0,025,390,0,19,19,2020-06-09 20:24:13.586340,317,92,409
5,Columbia,2,027,499,0,26,19,2020-06-09 20:24:13.586340,441,84,525
2,Conway,1,029,694,0,16,13,2020-06-09 20:24:13.586340,633,77,710
97,Craighead,1,031,6057,0,318,220,2020-06-09 20:24:13.586340,6095,280,6375
19,Crawford,0,033,1652,0,43,24,2020-06-09 20:24:13.586340,1624,71,1695
118,Crittenden,9,035,3764,0,473,346,2020-06-09 20:24:13.586340,3724,513,4237
18,Cross,0,037,785,0,65,47,2020-06-09 20:24:13.586340,648,202,850
1,Dallas,0,039,218,0,3,2,2020-06-09 20:24:13.586340,207,14,221
1,Desha,0,041,534,0,20,19,2020-06-09 20:24:13.586340,443,111,554
3,Drew,1,043,865,0,21,17,2020-06-09 20:24:13.586340,800,86,886
16,Faulkner,3,045,3577,0,119,100,2020-06-09 20:24:13.586340,3245,451,3696
1,Franklin,0,047,457,0,5,4,2020-06-09 20:24:13.586340,401,61,462
0,Fulton,0,049,458,0,7,7,2020-06-09 20:24:13.586340,438,27,465
15,Garland,1,051,4399,0,150,134,2020-06-09 20:24:13.586340,4377,172,4549
4,Grant,0,053,642,0,22,18,2020-06-09 20:24:13.586340,620,44,664
4,Greene,0,055,2292,0,67,63,2020-06-09 20:24:13.586340,2133,226,2359
15,Hempstead,1,057,633,0,33,17,2020-06-09 20:24:13.586340,569,97,666
1,Hot Spring,0,059,1024,0,34,33,2020-06-09 20:24:13.586340,987,71,1058
11,Howard,0,061,396,0,36,25,2020-06-09 20:24:13.586340,413,19,432
6,Independence,0,063,1270,0,36,30,2020-06-09 20:24:13.586340,1228,78,1306
1,Izard,1,065,402,0,17,15,2020-06-09 20:24:13.586340,394,25,419
3,Jackson,0,067,426,0,7,4,2020-06-09 20:24:13.586340,399,34,433
52,Jefferson,28,069,3891,0,559,479,2020-06-09 20:24:13.586340,3200,1250,4450
24,Johnson,0,071,674,0,69,45,2020-06-09 20:24:13.586340,415,328,743
1,Lafayette,1,073,137,0,10,8,2020-06-09 20:24:13.586340,138,9,147
8,Lawrence,9,075,920,0,89,72,2020-06-09 20:24:13.586340,969,40,1009
75,Lee,1,077,657,0,97,21,2020-06-09 20:24:13.586340,646,108,754
18,Lincoln,11,079,1061,0,985,956,2020-06-09 20:24:13.586340,1478,568,2046
16,Little River,0,081,314,0,28,12,2020-06-09 20:24:13.586340,311,31,342
9,Logan,0,083,519,0,14,5,2020-06-09 20:24:13.586340,461,72,533
11,Lonoke,0,085,2293,0,63,52,2020-06-09 20:24:13.586340,2079,277,2356
28,Madison,0,087,766,0,57,29,2020-06-09 20:24:13.586340,751,72,823
1,Marion,0,089,418,0,2,1,2020-06-09 20:24:13.586340,408,12,420
12,Miller,1,091,970,0,59,46,2020-06-09 20:24:13.586340,967,62,1029
146,Missing County Info,0,05,35539,0,294,148,2020-06-09 20:24:13.586340,35603,230,35833
10,Mississippi,2,093,1996,0,85,73,2020-06-09 20:24:13.586340,1865,216,2081
0,Monroe,0,095,298,0,5,5,2020-06-09 20:24:13.586340,282,21,303
0,Montgomery,0,097,189,0,3,3,2020-06-09 20:24:13.586340,176,16,192
62,Nevada,0,099,257,0,68,6,2020-06-09 20:24:13.586340,229,96,325
0,Newton,0,101,201,0,3,3,2020-06-09 20:24:13.586340,197,7,204
2,Ouachita,0,103,1006,0,13,11,2020-06-09 20:24:13.586340,872,147,1019
1,Perry,0,105,361,0,15,14,2020-06-09 20:24:13.586340,330,46,376
11,Phillips,1,107,856,0,30,18,2020-06-09 20:24:13.586340,645,241,886
2,Pike,0,109,718,0,6,4,2020-06-09 20:24:13.586340,710,14,724
12,Poinsett,2,111,830,0,44,30,2020-06-09 20:24:13.586340,826,48,874
22,Polk,0,113,663,0,45,23,2020-06-09 20:24:13.586340,565,143,708
63,Pope,2,115,3099,0,218,153,2020-06-09 20:24:13.586340,2949,368,3317
3,Prairie,0,117,200,0,5,2,2020-06-09 20:24:13.586340,184,21,205
277,Pulaski,40,119,16918,0,1131,814,2020-06-09 20:24:13.586340,15790,2259,18049
2,Randolph,0,121,1196,0,26,24,2020-06-09 20:24:13.586340,1124,98,1222
39,Saline,2,125,4745,0,150,109,2020-06-09 20:24:13.586340,4499,396,4895
1,Scott,0,127,200,0,2,1,2020-06-09 20:24:13.586340,182,20,202
0,Searcy,0,129,574,0,7,7,2020-06-09 20:24:13.586340,570,11,581
61,Sebastian,1,131,2911,0,98,36,2020-06-09 20:24:13.586340,2805,204,3009
182,Sevier,2,133,2047,0,366,182,2020-06-09 20:24:13.586340,2273,140,2413
5,Sharp,3,135,595,0,49,41,2020-06-09 20:24:13.586340,575,69,644
90,St. Francis,1,123,3328,0,761,670,2020-06-09 20:24:13.586340,3477,612,4089
3,Stone,0,137,512,0,11,8,2020-06-09 20:24:13.586340,504,19,523
24,Union,11,139,1299,0,190,155,2020-06-09 20:24:13.586340,1285,204,1489
2,Van Buren,2,141,653,0,30,26,2020-06-09 20:24:13.586340,572,111,683
716,Washington,7,143,7243,0,1185,462,2020-06-09 20:24:13.586340,5647,2781,8428
5,White,1,145,2164,0,50,44,2020-06-09 20:24:13.586340,2049,165,2214
0,Woodruff,0,147,221,0,1,1,2020-06-09 20:24:13.586340,192,30,222
100,Yell,2,149,789,0,248,146,2020-06-09 20:24:13.586340,729,308,1037
4,Arkansas,0,001,507,0,7,3,2020-06-10 20:34:38.970858,482,32,514
7,Ashley,0,003,838,0,34,27,2020-06-10 20:34:38.970858,721,151,872
3,Baxter,0,005,960,0,14,11,2020-06-10 20:34:38.970858,895,79,974
541,Benton,5,007,17412,0,1137,591,2020-06-10 20:34:38.970858,17194,1355,18549
2,Boone,0,009,1185,0,7,5,2020-06-10 20:34:38.970858,1165,27,1192
16,Bradley,1,011,554,0,34,17,2020-06-10 20:34:38.970858,367,221,588
0,Calhoun,0,013,147,0,0,0,2020-06-10 20:34:38.970858,137,10,147
16,Carroll,1,015,1455,0,42,25,2020-06-10 20:34:38.970858,1246,251,1497
14,Chicot,0,017,401,0,30,16,2020-06-10 20:34:38.970858,360,71,431
3,Clark,0,019,999,0,41,38,2020-06-10 20:34:38.970858,749,291,1040
3,Clay,0,021,757,0,8,5,2020-06-10 20:34:38.970858,750,15,765
1,Cleburne,4,023,1017,0,74,69,2020-06-10 20:34:38.970858,994,97,1091
0,Cleveland,0,025,417,0,19,19,2020-06-10 20:34:38.970858,344,92,436
5,Columbia,2,027,517,0,26,19,2020-06-10 20:34:38.970858,459,84,543
2,Conway,1,029,712,0,16,13,2020-06-10 20:34:38.970858,651,77,728
100,Craighead,1,031,6224,0,331,230,2020-06-10 20:34:38.970858,6275,280,6555
18,Crawford,0,033,1803,0,43,25,2020-06-10 20:34:38.970858,1775,71,1846
118,Crittenden,9,035,3859,0,489,362,2020-06-10 20:34:38.970858,3838,510,4348
19,Cross,0,037,809,0,67,48,2020-06-10 20:34:38.970858,674,202,876
1,Dallas,0,039,220,0,3,2,2020-06-10 20:34:38.970858,209,14,223
1,Desha,0,041,557,0,20,19,2020-06-10 20:34:38.970858,466,111,577
5,Drew,1,043,898,0,23,17,2020-06-10 20:34:38.970858,835,86,921
21,Faulkner,3,045,3700,0,124,100,2020-06-10 20:34:38.970858,3370,454,3824
1,Franklin,0,047,505,0,5,4,2020-06-10 20:34:38.970858,449,61,510
1,Fulton,0,049,500,0,8,7,2020-06-10 20:34:38.970858,481,27,508
18,Garland,1,051,4464,0,153,134,2020-06-10 20:34:38.970858,4444,173,4617
4,Grant,0,053,665,0,22,18,2020-06-10 20:34:38.970858,643,44,687
4,Greene,0,055,2332,0,67,63,2020-06-10 20:34:38.970858,2172,227,2399
15,Hempstead,1,057,732,0,34,18,2020-06-10 20:34:38.970858,669,97,766
1,Hot Spring,0,059,1047,0,34,33,2020-06-10 20:34:38.970858,1009,72,1081
9,Howard,0,061,405,0,35,26,2020-06-10 20:34:38.970858,420,20,440
4,Independence,0,063,1321,0,36,32,2020-06-10 20:34:38.970858,1276,81,1357
0,Izard,1,065,425,0,17,16,2020-06-10 20:34:38.970858,417,25,442
9,Jackson,0,067,507,0,14,5,2020-06-10 20:34:38.970858,429,92,521
62,Jefferson,28,069,3975,0,573,483,2020-06-10 20:34:38.970858,3292,1256,4548
26,Johnson,0,071,688,0,71,45,2020-06-10 20:34:38.970858,429,330,759
1,Lafayette,1,073,134,0,10,8,2020-06-10 20:34:38.970858,135,9,144
8,Lawrence,9,075,957,0,89,72,2020-06-10 20:34:38.970858,1005,41,1046
97,Lee,1,077,671,0,120,22,2020-06-10 20:34:38.970858,667,124,791
18,Lincoln,11,079,1072,0,985,956,2020-06-10 20:34:38.970858,1489,568,2057
18,Little River,0,081,326,0,31,13,2020-06-10 20:34:38.970858,326,31,357
7,Logan,0,083,584,0,14,7,2020-06-10 20:34:38.970858,526,72,598
10,Lonoke,0,085,2377,0,64,54,2020-06-10 20:34:38.970858,2161,280,2441
28,Madison,0,087,855,0,58,30,2020-06-10 20:34:38.970858,818,95,913
0,Marion,0,089,447,0,2,2,2020-06-10 20:34:38.970858,437,12,449
11,Miller,1,091,999,0,60,48,2020-06-10 20:34:38.970858,995,64,1059
128,Missing County Info,0,05,35366,0,278,150,2020-06-10 20:34:38.970858,35416,228,35644
11,Mississippi,2,093,2087,0,86,73,2020-06-10 20:34:38.970858,1957,216,2173
0,Monroe,0,095,302,0,5,5,2020-06-10 20:34:38.970858,286,21,307
0,Montgomery,0,097,200,0,3,3,2020-06-10 20:34:38.970858,187,16,203
63,Nevada,0,099,332,0,70,7,2020-06-10 20:34:38.970858,306,96,402
0,Newton,0,101,286,0,3,3,2020-06-10 20:34:38.970858,282,7,289
2,Ouachita,0,103,1026,0,12,10,2020-06-10 20:34:38.970858,890,148,1038
1,Perry,0,105,385,0,15,14,2020-06-10 20:34:38.970858,354,46,400
8,Phillips,1,107,885,0,30,21,2020-06-10 20:34:38.970858,674,241,915
2,Pike,0,109,822,0,6,4,2020-06-10 20:34:38.970858,814,14,828
12,Poinsett,2,111,848,0,44,30,2020-06-10 20:34:38.970858,844,48,892
22,Polk,0,113,666,0,47,25,2020-06-10 20:34:38.970858,569,144,713
65,Pope,2,115,3184,0,222,155,2020-06-10 20:34:38.970858,3039,367,3406
3,Prairie,0,117,229,0,5,2,2020-06-10 20:34:38.970858,213,21,234
308,Pulaski,41,119,17532,0,1188,839,2020-06-10 20:34:38.970858,16378,2342,18720
3,Randolph,0,121,1220,0,27,24,2020-06-10 20:34:38.970858,1148,99,1247
45,Saline,2,125,4858,0,159,112,2020-06-10 20:34:38.970858,4609,408,5017
0,Scott,0,127,214,0,2,2,2020-06-10 20:34:38.970858,196,20,216
0,Searcy,0,129,592,0,7,7,2020-06-10 20:34:38.970858,588,11,599
53,Sebastian,2,131,3181,0,102,47,2020-06-10 20:34:38.970858,3079,204,3283
174,Sevier,2,133,2100,0,382,206,2020-06-10 20:34:38.970858,2341,141,2482
6,Sharp,3,135,605,0,50,41,2020-06-10 20:34:38.970858,586,69,655
91,St. Francis,1,123,3479,0,764,672,2020-06-10 20:34:38.970858,3631,612,4243
3,Stone,0,137,532,0,11,8,2020-06-10 20:34:38.970858,524,19,543
20,Union,11,139,1443,0,190,159,2020-06-10 20:34:38.970858,1429,204,1633
2,Van Buren,2,141,695,0,30,26,2020-06-10 20:34:38.970858,614,111,725
712,Washington,9,143,7569,0,1235,514,2020-06-10 20:34:38.970858,6028,2776,8804
7,White,1,145,2229,0,52,44,2020-06-10 20:34:38.970858,2111,170,2281
0,Woodruff,0,147,218,0,1,1,2020-06-10 20:34:38.970858,189,30,219
94,Yell,2,149,828,0,251,155,2020-06-10 20:34:38.970858,771,308,1079
4,Arkansas,0,001,530,0,7,3,2020-06-11 20:20:08.897544,501,36,537
7,Ashley,1,003,895,0,35,27,2020-06-11 20:20:08.897544,778,152,930
3,Baxter,0,005,1127,0,14,11,2020-06-11 20:20:08.897544,1062,79,1141
578,Benton,5,007,18062,0,1219,636,2020-06-11 20:20:08.897544,17905,1376,19281
2,Boone,0,009,1238,0,7,5,2020-06-11 20:20:08.897544,1218,27,1245
16,Bradley,1,011,589,0,34,17,2020-06-11 20:20:08.897544,399,224,623
0,Calhoun,0,013,153,0,0,0,2020-06-11 20:20:08.897544,143,10,153
28,Carroll,1,015,1502,0,56,27,2020-06-11 20:20:08.897544,1294,264,1558
14,Chicot,1,017,416,0,32,17,2020-06-11 20:20:08.897544,377,71,448
5,Clark,0,019,1018,0,43,38,2020-06-11 20:20:08.897544,769,292,1061
4,Clay,0,021,820,0,9,5,2020-06-11 20:20:08.897544,814,15,829
1,Cleburne,4,023,1043,0,74,69,2020-06-11 20:20:08.897544,1016,101,1117
0,Cleveland,0,025,461,0,19,19,2020-06-11 20:20:08.897544,388,92,480
6,Columbia,2,027,541,0,27,19,2020-06-11 20:20:08.897544,476,92,568
2,Conway,1,029,723,0,16,13,2020-06-11 20:20:08.897544,662,77,739
96,Craighead,1,031,7198,0,337,240,2020-06-11 20:20:08.897544,7245,290,7535
20,Crawford,0,033,1864,0,47,27,2020-06-11 20:20:08.897544,1835,76,1911
116,Crittenden,9,035,4116,0,500,375,2020-06-11 20:20:08.897544,4104,512,4616
21,Cross,0,037,903,0,72,51,2020-06-11 20:20:08.897544,773,202,975
1,Dallas,0,039,234,0,3,2,2020-06-11 20:20:08.897544,223,14,237
1,Desha,0,041,570,0,20,19,2020-06-11 20:20:08.897544,479,111,590
6,Drew,1,043,926,0,25,18,2020-06-11 20:20:08.897544,864,87,951
32,Faulkner,3,045,3833,0,136,101,2020-06-11 20:20:08.897544,3513,456,3969
2,Franklin,0,047,538,0,6,4,2020-06-11 20:20:08.897544,478,66,544
1,Fulton,0,049,536,0,8,7,2020-06-11 20:20:08.897544,517,27,544
19,Garland,1,051,4532,0,154,134,2020-06-11 20:20:08.897544,4507,179,4686
3,Grant,0,053,683,0,22,19,2020-06-11 20:20:08.897544,660,45,705
4,Greene,0,055,2583,0,68,64,2020-06-11 20:20:08.897544,2418,233,2651
13,Hempstead,1,057,749,0,33,19,2020-06-11 20:20:08.897544,682,100,782
4,Hot Spring,0,059,1067,0,37,33,2020-06-11 20:20:08.897544,1032,72,1104
10,Howard,0,061,432,0,38,28,2020-06-11 20:20:08.897544,449,21,470
4,Independence,0,063,1579,0,37,33,2020-06-11 20:20:08.897544,1534,82,1616
0,Izard,1,065,472,0,17,16,2020-06-11 20:20:08.897544,463,26,489
9,Jackson,0,067,548,0,14,5,2020-06-11 20:20:08.897544,468,94,562
58,Jefferson,28,069,4243,0,578,492,2020-06-11 20:20:08.897544,3558,1263,4821
25,Johnson,0,071,837,0,75,50,2020-06-11 20:20:08.897544,554,358,912
1,Lafayette,1,073,133,0,10,8,2020-06-11 20:20:08.897544,134,9,143
8,Lawrence,9,075,1039,0,89,72,2020-06-11 20:20:08.897544,1086,42,1128
97,Lee,1,077,705,0,120,22,2020-06-11 20:20:08.897544,694,131,825
19,Lincoln,11,079,1110,0,986,956,2020-06-11 20:20:08.897544,1528,568,2096
17,Little River,0,081,365,0,33,16,2020-06-11 20:20:08.897544,367,31,398
7,Logan,0,083,627,0,15,8,2020-06-11 20:20:08.897544,568,74,642
12,Lonoke,0,085,2445,0,67,55,2020-06-11 20:20:08.897544,2231,281,2512
35,Madison,0,087,1011,0,67,32,2020-06-11 20:20:08.897544,981,97,1078
0,Marion,0,089,505,0,2,2,2020-06-11 20:20:08.897544,494,13,507
12,Miller,1,091,1079,0,64,51,2020-06-11 20:20:08.897544,1071,72,1143
146,Missing County Info,0,05,31813,0,302,156,2020-06-11 20:20:08.897544,31875,240,32115
10,Mississippi,2,093,2247,0,86,74,2020-06-11 20:20:08.897544,2117,216,2333
0,Monroe,0,095,334,0,5,5,2020-06-11 20:20:08.897544,316,23,339
0,Montgomery,0,097,198,0,2,2,2020-06-11 20:20:08.897544,184,16,200
64,Nevada,0,099,336,0,71,7,2020-06-11 20:20:08.897544,310,97,407
0,Newton,0,101,291,0,3,3,2020-06-11 20:20:08.897544,287,7,294
2,Ouachita,0,103,1050,0,12,10,2020-06-11 20:20:08.897544,912,150,1062
1,Perry,0,105,391,0,15,14,2020-06-11 20:20:08.897544,360,46,406
8,Phillips,1,107,947,0,31,22,2020-06-11 20:20:08.897544,724,254,978
1,Pike,0,109,835,0,6,5,2020-06-11 20:20:08.897544,825,16,841
12,Poinsett,3,111,1030,0,46,31,2020-06-11 20:20:08.897544,1025,51,1076
22,Polk,0,113,676,0,48,26,2020-06-11 20:20:08.897544,579,145,724
70,Pope,2,115,3245,0,232,160,2020-06-11 20:20:08.897544,3101,376,3477
3,Prairie,0,117,231,0,5,2,2020-06-11 20:20:08.897544,214,22,236
324,Pulaski,41,119,18342,0,1225,860,2020-06-11 20:20:08.897544,17213,2354,19567
4,Randolph,0,121,1288,0,28,24,2020-06-11 20:20:08.897544,1216,100,1316
46,Saline,2,125,4973,0,163,115,2020-06-11 20:20:08.897544,4727,409,5136
0,Scott,0,127,226,0,2,2,2020-06-11 20:20:08.897544,207,21,228
0,Searcy,0,129,606,0,7,7,2020-06-11 20:20:08.897544,602,11,613
57,Sebastian,2,131,3351,0,109,50,2020-06-11 20:20:08.897544,3250,210,3460
161,Sevier,4,133,2143,0,387,222,2020-06-11 20:20:08.897544,2384,146,2530
6,Sharp,3,135,660,0,50,41,2020-06-11 20:20:08.897544,639,71,710
94,St. Francis,1,123,3559,0,768,673,2020-06-11 20:20:08.897544,3715,612,4327
3,Stone,0,137,557,0,11,8,2020-06-11 20:20:08.897544,546,22,568
24,Union,11,139,1713,0,194,159,2020-06-11 20:20:08.897544,1700,207,1907
2,Van Buren,2,141,722,0,30,26,2020-06-11 20:20:08.897544,641,111,752
808,Washington,10,143,7805,0,1389,571,2020-06-11 20:20:08.897544,6408,2786,9194
10,White,1,145,2325,0,55,44,2020-06-11 20:20:08.897544,2206,174,2380
0,Woodruff,0,147,222,0,1,1,2020-06-11 20:20:08.897544,192,31,223
93,Yell,2,149,879,0,261,166,2020-06-11 20:20:08.897544,824,316,1140
3,Arkansas,0,001,542,0,7,4,2020-06-12 20:24:33.496406,513,36,549
10,Ashley,1,003,897,0,38,27,2020-06-12 20:24:33.496406,783,152,935
3,Baxter,0,005,1215,0,14,11,2020-06-12 20:24:33.496406,1150,79,1229
615,Benton,6,007,19838,0,1306,685,2020-06-12 20:24:33.496406,19739,1405,21144
4,Boone,0,009,1270,0,9,5,2020-06-12 20:24:33.496406,1252,27,1279
14,Bradley,1,011,604,0,34,19,2020-06-12 20:24:33.496406,414,224,638
0,Calhoun,0,013,149,0,0,0,2020-06-12 20:24:33.496406,140,9,149
37,Carroll,1,015,1525,0,66,28,2020-06-12 20:24:33.496406,1327,264,1591
22,Chicot,1,017,491,0,40,17,2020-06-12 20:24:33.496406,460,71,531
6,Clark,0,019,1039,0,45,39,2020-06-12 20:24:33.496406,792,292,1084
4,Clay,0,021,801,0,9,5,2020-06-12 20:24:33.496406,795,15,810
1,Cleburne,4,023,1058,0,74,69,2020-06-12 20:24:33.496406,1030,102,1132
0,Cleveland,0,025,450,0,19,19,2020-06-12 20:24:33.496406,377,92,469
6,Columbia,2,027,747,0,27,19,2020-06-12 20:24:33.496406,678,96,774
4,Conway,2,029,746,0,19,13,2020-06-12 20:24:33.496406,686,79,765
98,Craighead,1,031,7457,0,346,247,2020-06-12 20:24:33.496406,7501,302,7803
21,Crawford,0,033,1969,0,51,30,2020-06-12 20:24:33.496406,1941,79,2020
104,Crittenden,9,035,4156,0,508,395,2020-06-12 20:24:33.496406,4153,511,4664
23,Cross,0,037,920,0,74,51,2020-06-12 20:24:33.496406,792,202,994
1,Dallas,0,039,224,0,3,2,2020-06-12 20:24:33.496406,213,14,227
1,Desha,0,041,577,0,20,19,2020-06-12 20:24:33.496406,486,111,597
6,Drew,1,043,938,0,25,18,2020-06-12 20:24:33.496406,876,87,963
38,Faulkner,3,045,3996,0,142,101,2020-06-12 20:24:33.496406,3679,459,4138
2,Franklin,0,047,539,0,6,4,2020-06-12 20:24:33.496406,479,66,545
2,Fulton,0,049,562,0,9,7,2020-06-12 20:24:33.496406,544,27,571
18,Garland,1,051,4665,0,154,135,2020-06-12 20:24:33.496406,4640,179,4819
4,Grant,0,053,702,0,23,19,2020-06-12 20:24:33.496406,680,45,725
3,Greene,0,055,2567,0,69,66,2020-06-12 20:24:33.496406,2402,234,2636
12,Hempstead,1,057,848,0,33,20,2020-06-12 20:24:33.496406,779,102,881
4,Hot Spring,0,059,1130,0,37,33,2020-06-12 20:24:33.496406,1092,75,1167
9,Howard,0,061,436,0,38,29,2020-06-12 20:24:33.496406,453,21,474
6,Independence,0,063,1578,0,39,33,2020-06-12 20:24:33.496406,1527,90,1617
0,Izard,1,065,482,0,17,16,2020-06-12 20:24:33.496406,472,27,499
10,Jackson,0,067,557,0,15,5,2020-06-12 20:24:33.496406,474,98,572
103,Jefferson,28,069,4153,0,625,494,2020-06-12 20:24:33.496406,3487,1291,4778
26,Johnson,0,071,799,0,78,52,2020-06-12 20:24:33.496406,509,368,877
1,Lafayette,1,073,150,0,10,8,2020-06-12 20:24:33.496406,151,9,160
9,Lawrence,9,075,1035,0,90,72,2020-06-12 20:24:33.496406,1083,42,1125
291,Lee,1,077,946,0,317,25,2020-06-12 20:24:33.496406,723,540,1263
16,Lincoln,11,079,1096,0,986,959,2020-06-12 20:24:33.496406,1514,568,2082
15,Little River,0,081,409,0,33,18,2020-06-12 20:24:33.496406,411,31,442
6,Logan,0,083,653,0,17,11,2020-06-12 20:24:33.496406,594,76,670
14,Lonoke,0,085,2485,0,69,55,2020-06-12 20:24:33.496406,2272,282,2554
64,Madison,0,087,1108,0,99,35,2020-06-12 20:24:33.496406,1111,96,1207
0,Marion,0,089,504,0,2,2,2020-06-12 20:24:33.496406,493,13,506
13,Miller,1,091,1099,0,66,52,2020-06-12 20:24:33.496406,1092,73,1165
137,Missing County Info,0,05,31916,0,300,163,2020-06-12 20:24:33.496406,31976,240,32216
12,Mississippi,2,093,2257,0,89,75,2020-06-12 20:24:33.496406,2130,216,2346
0,Monroe,0,095,339,0,5,5,2020-06-12 20:24:33.496406,321,23,344
0,Montgomery,0,097,205,0,2,2,2020-06-12 20:24:33.496406,191,16,207
66,Nevada,0,099,376,0,73,7,2020-06-12 20:24:33.496406,352,97,449
0,Newton,0,101,296,0,3,3,2020-06-12 20:24:33.496406,292,7,299
3,Ouachita,0,103,1066,0,13,10,2020-06-12 20:24:33.496406,923,156,1079
1,Perry,0,105,400,0,15,14,2020-06-12 20:24:33.496406,369,46,415
9,Phillips,1,107,941,0,32,22,2020-06-12 20:24:33.496406,719,254,973
1,Pike,0,109,909,0,6,5,2020-06-12 20:24:33.496406,899,16,915
15,Poinsett,3,111,1014,0,50,32,2020-06-12 20:24:33.496406,1013,51,1064
20,Polk,0,113,745,0,48,28,2020-06-12 20:24:33.496406,648,145,793
69,Pope,2,115,3266,0,234,163,2020-06-12 20:24:33.496406,3121,379,3500
4,Prairie,0,117,243,0,6,2,2020-06-12 20:24:33.496406,227,22,249
313,Pulaski,41,119,18937,0,1241,887,2020-06-12 20:24:33.496406,17804,2374,20178
4,Randolph,0,121,1273,0,28,24,2020-06-12 20:24:33.496406,1200,101,1301
46,Saline,2,125,5269,0,166,118,2020-06-12 20:24:33.496406,5016,419,5435
0,Scott,0,127,221,0,2,2,2020-06-12 20:24:33.496406,202,21,223
0,Searcy,0,129,605,0,7,7,2020-06-12 20:24:33.496406,601,11,612
77,Sebastian,2,131,3766,0,133,54,2020-06-12 20:24:33.496406,3685,214,3899
147,Sevier,4,133,2228,0,393,242,2020-06-12 20:24:33.496406,2475,146,2621
5,Sharp,3,135,670,0,51,43,2020-06-12 20:24:33.496406,650,71,721
86,St. Francis,2,123,3631,0,767,679,2020-06-12 20:24:33.496406,3788,610,4398
3,Stone,0,137,554,0,11,8,2020-06-12 20:24:33.496406,543,22,565
28,Union,11,139,1843,0,199,160,2020-06-12 20:24:33.496406,1834,208,2042
2,Van Buren,2,141,723,0,30,26,2020-06-12 20:24:33.496406,642,111,753
958,Washington,12,143,8193,0,1605,635,2020-06-12 20:24:33.496406,6998,2800,9798
9,White,1,145,2345,0,54,44,2020-06-12 20:24:33.496406,2227,172,2399
0,Woodruff,0,147,230,0,1,1,2020-06-12 20:24:33.496406,200,31,231
100,Yell,2,149,897,0,275,173,2020-06-12 20:24:33.496406,857,315,1172
