Active Cases,County Name,Deaths,FIPS,Negative Cases,Pending Cases,Positive Cases,Recovered,Scrape Time,Testing: Private Lab,Testing: Public Lab,Total Tested
3,Sebastian,0,131,892,0,18,15,2020-05-21 20:34:08.094020,881,29,910
28,Sevier,1,133,417,0,50,21,2020-05-21 20:34:08.094020,438,29,467
31,Sharp,2,135,234,0,42,9,2020-05-21 20:34:08.094020,242,34,276
332,St. Francis,0,123,2252,0,600,268,2020-05-21 20:34:08.094020,2368,484,2852
0,Stone,0,137,200,0,8,8,2020-05-21 20:34:08.094020,202,6,208
55,Union,4,139,754,0,140,81,2020-05-21 20:34:08.094020,843,51,894
0,Van Buren,2,141,400,0,28,26,2020-05-21 20:34:08.094020,319,109,428
71,Washington,5,143,3586,0,180,104,2020-05-21 20:34:08.094020,2927,839,3766
3,White,1,145,1504,0,37,33,2020-05-21 20:34:08.094020,1439,102,1541
0,Woodruff,0,147,84,0,1,1,2020-05-21 20:34:08.094020,81,4,85
62,Yell,1,149,297,0,73,10,2020-05-21 20:34:08.094020,341,29,370
0,Arkansas,0,001,241,0,2,2,2020-05-21 20:56:58.622379,225,18,243
1,Ashley,0,003,506,0,19,18,2020-05-21 20:56:58.622379,392,133,525
1,Baxter,0,005,486,0,6,5,2020-05-21 20:56:58.622379,477,15,492
67,Benton,0,007,7797,0,190,123,2020-05-21 20:56:58.622379,7580,407,7987
1,Boone,0,009,540,0,5,4,2020-05-21 20:56:58.622379,538,7,545
4,Bradley,1,011,360,0,15,10,2020-05-21 20:56:58.622379,182,193,375
0,Calhoun,0,013,53,0,0,0,2020-05-21 20:56:58.622379,44,9,53
3,Carroll,0,015,531,0,8,5,2020-05-21 20:56:58.622379,522,17,539
3,Chicot,0,017,190,0,12,9,2020-05-21 20:56:58.622379,137,65,202
1,Clark,0,019,666,0,35,34,2020-05-21 20:56:58.622379,433,268,701
1,Clay,0,021,436,0,4,3,2020-05-21 20:56:58.622379,437,3,440
1,Cleburne,4,023,569,0,73,68,2020-05-21 20:56:58.622379,557,85,642
3,Cleveland,0,025,271,0,17,14,2020-05-21 20:56:58.622379,204,84,288
6,Columbia,2,027,284,0,20,12,2020-05-21 20:56:58.622379,276,28,304
1,Conway,1,029,482,0,14,12,2020-05-21 20:56:58.622379,444,52,496
59,Craighead,0,031,3220,0,170,111,2020-05-21 20:56:58.622379,3245,145,3390
2,Crawford,0,033,549,0,12,10,2020-05-21 20:56:58.622379,554,7,561
55,Crittenden,8,035,2237,0,267,204,2020-05-21 20:56:58.622379,2114,390,2504
13,Cross,0,037,516,0,41,28,2020-05-21 20:56:58.622379,403,154,557
0,Dallas,0,039,129,0,1,1,2020-05-21 20:56:58.622379,118,12,130
0,Desha,0,041,392,0,18,18,2020-05-21 20:56:58.622379,306,104,410
2,Drew,1,043,517,0,19,16,2020-05-21 20:56:58.622379,475,61,536
14,Faulkner,3,045,2562,0,98,81,2020-05-21 20:56:58.622379,2274,386,2660
0,Franklin,0,047,208,0,2,2,2020-05-21 20:56:58.622379,202,8,210
1,Fulton,0,049,201,0,4,3,2020-05-21 20:56:58.622379,195,10,205
9,Garland,1,051,3494,0,131,121,2020-05-21 20:56:58.622379,3550,75,3625
1,Grant,0,053,411,0,16,15,2020-05-21 20:56:58.622379,392,35,427
10,Greene,0,055,1396,0,34,24,2020-05-21 20:56:58.622379,1290,140,1430
4,Hempstead,1,057,202,0,12,7,2020-05-21 20:56:58.622379,201,13,214
3,Hot Spring,0,059,709,0,29,26,2020-05-21 20:56:58.622379,687,51,738
0,Howard,0,061,237,0,14,14,2020-05-21 20:56:58.622379,249,2,251
6,Independence,0,063,635,0,27,21,2020-05-21 20:56:58.622379,639,23,662
3,Izard,0,065,170,0,14,11,2020-05-21 20:56:58.622379,174,10,184
0,Jackson,0,067,204,0,1,1,2020-05-21 20:56:58.622379,196,9,205
268,Jefferson,22,069,2218,0,500,210,2020-05-21 20:56:58.622379,1576,1142,2718
2,Johnson,0,071,297,0,36,34,2020-05-21 20:56:58.622379,303,30,333
0,Lafayette,1,073,36,0,9,8,2020-05-21 20:56:58.622379,44,1,45
16,Lawrence,5,075,563,0,79,58,2020-05-21 20:56:58.622379,622,20,642
6,Lee,1,077,184,0,13,6,2020-05-21 20:56:58.622379,156,41,197
35,Lincoln,8,079,907,0,966,923,2020-05-21 20:56:58.622379,1361,512,1873
1,Little River,0,081,151,0,1,0,2020-05-21 20:56:58.622379,134,18,152
0,Logan,0,083,224,0,4,4,2020-05-21 20:56:58.622379,216,12,228
3,Lonoke,0,085,1481,0,46,43,2020-05-21 20:56:58.622379,1320,207,1527
1,Madison,0,087,244,0,2,1,2020-05-21 20:56:58.622379,236,10,246
0,Marion,0,089,134,0,1,1,2020-05-21 20:56:58.622379,131,4,135
3,Miller,1,091,571,0,42,38,2020-05-21 20:56:58.622379,602,11,613
38,Missing County Info,0,05,25585,0,151,113,2020-05-21 20:56:58.622379,25630,106,25736
16,Mississippi,1,093,830,0,69,52,2020-05-21 20:56:58.622379,798,101,899
1,Monroe,0,095,141,0,5,4,2020-05-21 20:56:58.622379,136,10,146
0,Montgomery,0,097,131,0,1,1,2020-05-21 20:56:58.622379,123,9,132
1,Nevada,0,099,109,0,4,3,2020-05-21 20:56:58.622379,106,7,113
0,Newton,0,101,110,0,3,3,2020-05-21 20:56:58.622379,113,0,113
1,Ouachita,0,103,661,0,10,9,2020-05-21 20:56:58.622379,550,121,671
1,Perry,0,105,230,0,12,11,2020-05-21 20:56:58.622379,211,31,242
1,Phillips,1,107,352,0,6,4,2020-05-21 20:56:58.622379,312,46,358
0,Pike,0,109,491,0,4,4,2020-05-21 20:56:58.622379,490,5,495
6,Poinsett,2,111,422,0,30,22,2020-05-21 20:56:58.622379,433,19,452
1,Polk,0,113,381,0,9,8,2020-05-21 20:56:58.622379,313,77,390
41,Pope,1,115,2097,0,92,50,2020-05-21 20:56:58.622379,2084,105,2189
0,Prairie,0,117,89,0,2,2,2020-05-21 20:56:58.622379,87,4,91
119,Pulaski,28,119,10392,0,740,593,2020-05-21 20:56:58.622379,9608,1524,11132
3,Randolph,0,121,791,0,24,21,2020-05-21 20:56:58.622379,771,44,815
9,Saline,1,125,2758,0,83,73,2020-05-21 20:56:58.622379,2560,281,2841
0,Scott,0,127,24,0,1,1,2020-05-21 20:56:58.622379,20,5,25
0,Searcy,0,129,308,0,6,6,2020-05-21 20:56:58.622379,308,6,314
3,Sebastian,0,131,892,0,18,15,2020-05-21 20:56:58.622379,881,29,910
28,Sevier,1,133,417,0,50,21,2020-05-21 20:56:58.622379,438,29,467
31,Sharp,2,135,234,0,42,9,2020-05-21 20:56:58.622379,242,34,276
332,St. Francis,0,123,2252,0,600,268,2020-05-21 20:56:58.622379,2368,484,2852
0,Stone,0,137,200,0,8,8,2020-05-21 20:56:58.622379,202,6,208
55,Union,4,139,754,0,140,81,2020-05-21 20:56:58.622379,843,51,894
0,Van Buren,2,141,400,0,28,26,2020-05-21 20:56:58.622379,319,109,428
71,Washington,5,143,3586,0,180,104,2020-05-21 20:56:58.622379,2927,839,3766
3,White,1,145,1504,0,37,33,2020-05-21 20:56:58.622379,1439,102,1541
0,Woodruff,0,147,84,0,1,1,2020-05-21 20:56:58.622379,81,4,85
62,Yell,1,149,297,0,73,10,2020-05-21 20:56:58.622379,341,29,370
0,Arkansas,0,001,250,0,2,2,2020-05-22 20:06:04.325211,234,18,252
1,Ashley,0,003,524,0,19,18,2020-05-22 20:06:04.325211,410,133,543
1,Baxter,0,005,517,0,6,5,2020-05-22 20:06:04.325211,508,15,523
84,Benton,0,007,7896,0,212,128,2020-05-22 20:06:04.325211,7697,411,8108
1,Boone,0,009,547,0,5,4,2020-05-22 20:06:04.325211,545,7,552
5,Bradley,1,011,363,0,16,10,2020-05-22 20:06:04.325211,187,192,379
0,Calhoun,0,013,54,0,0,0,2020-05-22 20:06:04.325211,45,9,54
4,Carroll,0,015,547,0,9,5,2020-05-22 20:06:04.325211,529,27,556
3,Chicot,0,017,191,0,12,9,2020-05-22 20:06:04.325211,137,66,203
2,Clark,0,019,672,0,36,34,2020-05-22 20:06:04.325211,440,268,708
1,Clay,0,021,456,0,4,3,2020-05-22 20:06:04.325211,454,6,460
1,Cleburne,4,023,581,0,73,68,2020-05-22 20:06:04.325211,569,85,654
3,Cleveland,0,025,272,0,18,15,2020-05-22 20:06:04.325211,206,84,290
6,Columbia,2,027,292,0,20,12,2020-05-22 20:06:04.325211,280,32,312
1,Conway,1,029,492,0,14,12,2020-05-22 20:06:04.325211,454,52,506
59,Craighead,0,031,3428,0,174,115,2020-05-22 20:06:04.325211,3457,145,3602
1,Crawford,0,033,555,0,12,11,2020-05-22 20:06:04.325211,560,7,567
60,Crittenden,8,035,2426,0,276,208,2020-05-22 20:06:04.325211,2312,390,2702
14,Cross,0,037,539,0,42,28,2020-05-22 20:06:04.325211,422,159,581
0,Dallas,0,039,137,0,1,1,2020-05-22 20:06:04.325211,126,12,138
0,Desha,0,041,394,0,18,18,2020-05-22 20:06:04.325211,308,104,412
2,Drew,1,043,526,0,19,16,2020-05-22 20:06:04.325211,483,62,545
14,Faulkner,3,045,2625,0,98,81,2020-05-22 20:06:04.325211,2332,391,2723
