County Name,Scrape Time,Total Deaths,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Miner,2020-08-18 20:02:31.221649,0,259,15,15
Minnehaha,2020-08-18 20:02:31.221649,68,28876,4655,4189
Moody,2020-08-18 20:02:31.221649,0,655,33,30
Oglala Lakota,2020-08-18 20:02:31.221649,2,2971,158,140
Pennington,2020-08-18 20:02:31.221649,33,11369,951,804
Perkins,2020-08-18 20:02:31.221649,0,196,6,5
Potter,2020-08-18 20:02:31.221649,0,303,2,1
Roberts,2020-08-18 20:02:31.221649,1,1891,87,73
Sanborn,2020-08-18 20:02:31.221649,0,235,13,13
Spink,2020-08-18 20:02:31.221649,0,1182,27,21
Stanley,2020-08-18 20:02:31.221649,0,264,16,14
Sully,2020-08-18 20:02:31.221649,0,83,4,3
Todd,2020-08-18 20:02:31.221649,5,2249,75,62
Lincoln,2020-08-19 20:17:00.291812,2,7212,711,613
Lyman,2020-08-19 20:17:00.291812,3,986,91,82
Marshall,2020-08-19 20:17:00.291812,0,483,12,8
McCook,2020-08-19 20:17:00.291812,1,662,36,26
McPherson,2020-08-19 20:17:00.291812,0,224,8,7
Meade,2020-08-19 20:17:00.291812,1,2054,106,83
Mellette,2020-08-19 20:17:00.291812,0,393,24,24
Miner,2020-08-19 20:17:00.291812,0,259,15,15
Minnehaha,2020-08-19 20:17:00.291812,68,28876,4655,4189
Moody,2020-08-19 20:17:00.291812,0,655,33,30
Oglala Lakota,2020-08-19 20:17:00.291812,2,2971,158,140
Pennington,2020-08-19 20:17:00.291812,33,11369,951,804
Perkins,2020-08-19 20:17:00.291812,0,196,6,5
Potter,2020-08-19 20:17:00.291812,0,303,2,1
Roberts,2020-08-19 20:17:00.291812,1,1891,87,73
Sanborn,2020-08-19 20:17:00.291812,0,235,13,13
Spink,2020-08-19 20:17:00.291812,0,1182,27,21
Stanley,2020-08-19 20:17:00.291812,0,264,16,14
Sully,2020-08-19 20:17:00.291812,0,83,4,3
Todd,2020-08-19 20:17:00.291812,5,2249,75,62
Lincoln,2020-08-20 20:18:17.251018,2,7212,711,613
Lyman,2020-08-20 20:18:17.251018,3,986,91,82
Marshall,2020-08-20 20:18:17.251018,0,483,12,8
McCook,2020-08-20 20:18:17.251018,1,662,36,26
McPherson,2020-08-20 20:18:17.251018,0,224,8,7
Meade,2020-08-20 20:18:17.251018,1,2054,106,83
Mellette,2020-08-20 20:18:17.251018,0,393,24,24
Miner,2020-08-20 20:18:17.251018,0,259,15,15
Minnehaha,2020-08-20 20:18:17.251018,68,28876,4655,4189
Moody,2020-08-20 20:18:17.251018,0,655,33,30
Oglala Lakota,2020-08-20 20:18:17.251018,2,2971,158,140
Pennington,2020-08-20 20:18:17.251018,33,11369,951,804
Perkins,2020-08-20 20:18:17.251018,0,196,6,5
Potter,2020-08-20 20:18:17.251018,0,303,2,1
Roberts,2020-08-20 20:18:17.251018,1,1891,87,73
Sanborn,2020-08-20 20:18:17.251018,0,235,13,13
Spink,2020-08-20 20:18:17.251018,0,1182,27,21
Stanley,2020-08-20 20:18:17.251018,0,264,16,14
Sully,2020-08-20 20:18:17.251018,0,83,4,3
Todd,2020-08-20 20:18:17.251018,5,2249,75,62
Lincoln,2020-08-21 22:05:45.563490,2,7212,711,613
Lyman,2020-08-21 22:05:45.563490,3,986,91,82
Marshall,2020-08-21 22:05:45.563490,0,483,12,8
McCook,2020-08-21 22:05:45.563490,1,662,36,26
McPherson,2020-08-21 22:05:45.563490,0,224,8,7
Meade,2020-08-21 22:05:45.563490,1,2054,106,83
Mellette,2020-08-21 22:05:45.563490,0,393,24,24
Miner,2020-08-21 22:05:45.563490,0,259,15,15
Minnehaha,2020-08-21 22:05:45.563490,68,28876,4655,4189
Moody,2020-08-21 22:05:45.563490,0,655,33,30
Oglala Lakota,2020-08-21 22:05:45.563490,2,2971,158,140
Pennington,2020-08-21 22:05:45.563490,33,11369,951,804
Perkins,2020-08-21 22:05:45.563490,0,196,6,5
Potter,2020-08-21 22:05:45.563490,0,303,2,1
Roberts,2020-08-21 22:05:45.563490,1,1891,87,73
Sanborn,2020-08-21 22:05:45.563490,0,235,13,13
Spink,2020-08-21 22:05:45.563490,0,1182,27,21
Stanley,2020-08-21 22:05:45.563490,0,264,16,14
Sully,2020-08-21 22:05:45.563490,0,83,4,3
Todd,2020-08-21 22:05:45.563490,5,2249,75,62
