County Name,Scrape Time,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Custer,2020-08-06 20:07:21.487952,527,9,4
Davison,2020-08-06 20:07:21.487952,1620,41,34
Day,2020-08-06 20:07:21.487952,402,16,13
Deuel,2020-08-06 20:07:21.487952,290,3,2
Dewey,2020-08-06 20:07:21.487952,861,5,1
Aurora,2020-08-07 20:09:29.072754,282,34,33
Beadle,2020-08-07 20:09:29.072754,1415,527,453
Bennett,2020-08-07 20:09:29.072754,417,4,3
Bon Homme,2020-08-07 20:09:29.072754,585,11,11
Brookings,2020-08-07 20:09:29.072754,1684,65,51
Brown,2020-08-07 20:09:29.072754,2984,342,319
Brule,2020-08-07 20:09:29.072754,482,24,15
Buffalo,2020-08-07 20:09:29.072754,466,71,56
Butte,2020-08-07 20:09:29.072754,468,0,0
Campbell,2020-08-07 20:09:29.072754,63,0,0
Charles Mix,2020-08-07 20:09:29.072754,710,85,36
Clark,2020-08-07 20:09:29.072754,320,15,12
Clay,2020-08-07 20:09:29.072754,946,83,73
Codington,2020-08-07 20:09:29.072754,1906,70,48
Corson,2020-08-07 20:09:29.072754,141,18,15
Custer,2020-08-07 20:09:29.072754,527,9,4
Davison,2020-08-07 20:09:29.072754,1620,41,34
Day,2020-08-07 20:09:29.072754,402,16,13
Deuel,2020-08-07 20:09:29.072754,290,3,2
Dewey,2020-08-07 20:09:29.072754,861,5,1
Aurora,2020-08-08 20:06:58.840457,282,34,33
Beadle,2020-08-08 20:06:58.840457,1415,527,453
Bennett,2020-08-08 20:06:58.840457,417,4,3
Bon Homme,2020-08-08 20:06:58.840457,585,11,11
Brookings,2020-08-08 20:06:58.840457,1684,65,51
Brown,2020-08-08 20:06:58.840457,2984,342,319
Brule,2020-08-08 20:06:58.840457,482,24,15
Buffalo,2020-08-08 20:06:58.840457,466,71,56
Butte,2020-08-08 20:06:58.840457,468,0,0
Campbell,2020-08-08 20:06:58.840457,63,0,0
Charles Mix,2020-08-08 20:06:58.840457,710,85,36
Clark,2020-08-08 20:06:58.840457,320,15,12
Clay,2020-08-08 20:06:58.840457,946,83,73
Codington,2020-08-08 20:06:58.840457,1906,70,48
Corson,2020-08-08 20:06:58.840457,141,18,15
Custer,2020-08-08 20:06:58.840457,527,9,4
Davison,2020-08-08 20:06:58.840457,1620,41,34
Day,2020-08-08 20:06:58.840457,402,16,13
Deuel,2020-08-08 20:06:58.840457,290,3,2
Dewey,2020-08-08 20:06:58.840457,861,5,1
Aurora,2020-08-09 20:10:17.785085,282,34,33
Beadle,2020-08-09 20:10:17.785085,1415,527,453
Bennett,2020-08-09 20:10:17.785085,417,4,3
Bon Homme,2020-08-09 20:10:17.785085,585,11,11
Brookings,2020-08-09 20:10:17.785085,1684,65,51
Brown,2020-08-09 20:10:17.785085,2984,342,319
Brule,2020-08-09 20:10:17.785085,482,24,15
Buffalo,2020-08-09 20:10:17.785085,466,71,56
Butte,2020-08-09 20:10:17.785085,468,0,0
Campbell,2020-08-09 20:10:17.785085,63,0,0
Charles Mix,2020-08-09 20:10:17.785085,710,85,36
Clark,2020-08-09 20:10:17.785085,320,15,12
Clay,2020-08-09 20:10:17.785085,946,83,73
Codington,2020-08-09 20:10:17.785085,1906,70,48
Corson,2020-08-09 20:10:17.785085,141,18,15
Custer,2020-08-09 20:10:17.785085,527,9,4
Davison,2020-08-09 20:10:17.785085,1620,41,34
Day,2020-08-09 20:10:17.785085,402,16,13
Deuel,2020-08-09 20:10:17.785085,290,3,2
Dewey,2020-08-09 20:10:17.785085,861,5,1
Aurora,2020-08-10 20:08:54.365401,282,34,33
Beadle,2020-08-10 20:08:54.365401,1415,527,453
Bennett,2020-08-10 20:08:54.365401,417,4,3
Bon Homme,2020-08-10 20:08:54.365401,585,11,11
Brookings,2020-08-10 20:08:54.365401,1684,65,51
Brown,2020-08-10 20:08:54.365401,2984,342,319
Brule,2020-08-10 20:08:54.365401,482,24,15
Buffalo,2020-08-10 20:08:54.365401,466,71,56
Butte,2020-08-10 20:08:54.365401,468,0,0
Campbell,2020-08-10 20:08:54.365401,63,0,0
Charles Mix,2020-08-10 20:08:54.365401,710,85,36
Clark,2020-08-10 20:08:54.365401,320,15,12
Clay,2020-08-10 20:08:54.365401,946,83,73
Codington,2020-08-10 20:08:54.365401,1906,70,48
Corson,2020-08-10 20:08:54.365401,141,18,15
Custer,2020-08-10 20:08:54.365401,527,9,4
Davison,2020-08-10 20:08:54.365401,1620,41,34
Day,2020-08-10 20:08:54.365401,402,16,13
Deuel,2020-08-10 20:08:54.365401,290,3,2
Dewey,2020-08-10 20:08:54.365401,861,5,1
Aurora,2020-08-11 20:09:14.376457,282,34,33
Beadle,2020-08-11 20:09:14.376457,1415,527,453
Bennett,2020-08-11 20:09:14.376457,417,4,3
Bon Homme,2020-08-11 20:09:14.376457,585,11,11
Brookings,2020-08-11 20:09:14.376457,1684,65,51
Brown,2020-08-11 20:09:14.376457,2984,342,319
Brule,2020-08-11 20:09:14.376457,482,24,15
Buffalo,2020-08-11 20:09:14.376457,466,71,56
Butte,2020-08-11 20:09:14.376457,468,0,0
Campbell,2020-08-11 20:09:14.376457,63,0,0
Charles Mix,2020-08-11 20:09:14.376457,710,85,36
Clark,2020-08-11 20:09:14.376457,320,15,12
Clay,2020-08-11 20:09:14.376457,946,83,73
Codington,2020-08-11 20:09:14.376457,1906,70,48
Corson,2020-08-11 20:09:14.376457,141,18,15
Custer,2020-08-11 20:09:14.376457,527,9,4
Davison,2020-08-11 20:09:14.376457,1620,41,34
Day,2020-08-11 20:09:14.376457,402,16,13
Deuel,2020-08-11 20:09:14.376457,290,3,2
Dewey,2020-08-11 20:09:14.376457,861,5,1
Aurora,2020-08-12 20:33:39.848617,282,34,33
Beadle,2020-08-12 20:33:39.848617,1415,527,453
Bennett,2020-08-12 20:33:39.848617,417,4,3
Bon Homme,2020-08-12 20:33:39.848617,585,11,11
Brookings,2020-08-12 20:33:39.848617,1684,65,51
Brown,2020-08-12 20:33:39.848617,2984,342,319
Brule,2020-08-12 20:33:39.848617,482,24,15
Buffalo,2020-08-12 20:33:39.848617,466,71,56
Butte,2020-08-12 20:33:39.848617,468,0,0
Campbell,2020-08-12 20:33:39.848617,63,0,0
Charles Mix,2020-08-12 20:33:39.848617,710,85,36
Clark,2020-08-12 20:33:39.848617,320,15,12
Clay,2020-08-12 20:33:39.848617,946,83,73
Codington,2020-08-12 20:33:39.848617,1906,70,48
Corson,2020-08-12 20:33:39.848617,141,18,15
Custer,2020-08-12 20:33:39.848617,527,9,4
Davison,2020-08-12 20:33:39.848617,1620,41,34
Day,2020-08-12 20:33:39.848617,402,16,13
Deuel,2020-08-12 20:33:39.848617,290,3,2
Dewey,2020-08-12 20:33:39.848617,861,5,1
