# Cases Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Cases Race/Ethnicity: Asian (Hispanic),# Cases Race/Ethnicity: Asian (Not Hispanic),# Cases Race/Ethnicity: Asian (Unknown Ethnicity),# Cases Race/Ethnicity: Black or African American (Hispanic),# Cases Race/Ethnicity: Black or African American (Not Hispanic),# Cases Race/Ethnicity: Black or African American (Unknown Ethnicity),# Cases Race/Ethnicity: Other Race (Hispanic),# Cases Race/Ethnicity: Other Race (Not Hispanic),# Cases Race/Ethnicity: Other Race (Unknown Ethnicity),# Cases Race/Ethnicity: Unknown Race (Hispanic),# Cases Race/Ethnicity: Unknown Race (Not Hispanic),# Cases Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Cases Race/Ethnicity: White (Hispanic),# Cases Race/Ethnicity: White (Not Hispanic),# Cases Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Cases
0,1,0,0,4,0,0,368,73,4,15,22,0,3,28,47,123,43,ADAMS,08/23/2020,731
0,1,0,0,0,1,0,34,5,4,5,18,0,5,183,2,214,40,ALCORN,08/23/2020,512
0,0,0,0,1,0,0,73,20,0,2,7,0,2,45,2,94,16,AMITE,08/23/2020,262
0,2,2,0,0,0,0,243,51,5,6,12,0,1,50,1,167,31,ATTALA,08/23/2020,571
0,0,0,0,0,0,0,50,15,7,1,30,0,0,52,1,21,19,BENTON,08/23/2020,196
0,2,5,0,2,0,0,545,270,5,20,47,0,19,236,2,132,57,BOLIVAR,08/23/2020,1342
0,1,0,1,0,0,0,121,9,26,3,16,1,3,107,16,124,22,CALHOUN,08/23/2020,450
0,0,6,0,0,0,1,84,20,0,1,9,0,0,17,2,95,50,CARROLL,08/23/2020,285
1,0,0,0,0,0,6,247,48,8,7,26,1,2,51,9,129,18,CHICKASAW,08/23/2020,553
0,0,0,0,0,0,0,43,14,0,1,4,0,0,26,0,49,13,CHOCTAW,08/23/2020,150
0,0,0,0,1,0,1,193,90,0,1,23,0,0,79,0,21,11,CLAIBORNE,08/23/2020,420
0,0,0,0,1,0,0,146,16,3,6,14,0,1,29,0,156,42,CLARKE,08/23/2020,414
0,0,0,0,0,0,0,268,48,1,4,16,0,0,21,1,73,14,CLAY,08/23/2020,446
0,0,0,0,0,0,0,297,158,3,9,107,1,8,201,7,75,37,COAHOMA,08/23/2020,903
0,3,1,0,1,0,3,490,99,44,20,114,1,4,94,5,118,34,COPIAH,08/23/2020,1031
0,0,0,0,0,0,1,213,45,10,3,29,1,6,63,4,268,54,COVINGTON,08/23/2020,697
0,6,0,3,21,5,10,966,220,125,66,149,14,20,1476,95,875,228,DESOTO,08/23/2020,4279
0,0,1,0,6,2,1,549,144,108,23,166,3,7,256,17,573,179,FORREST,08/23/2020,2035
0,0,1,0,0,0,0,69,13,0,0,6,0,1,13,1,54,10,FRANKLIN,08/23/2020,168
0,0,0,0,6,1,0,55,100,2,4,35,0,1,67,7,227,164,GEORGE,08/23/2020,669
0,0,0,0,1,0,0,45,16,0,3,35,0,1,30,0,103,48,GREENE,08/23/2020,282
0,0,18,0,0,0,2,488,37,0,10,27,0,4,43,0,216,56,GRENADA,08/23/2020,901
0,0,0,0,1,0,0,50,8,2,9,39,0,0,35,11,252,47,HANCOCK,08/23/2020,454
3,3,2,1,29,11,3,669,126,39,44,159,1,14,427,90,1062,357,HARRISON,08/23/2020,3040
1,5,0,0,18,6,17,3387,673,77,50,643,4,16,556,19,693,108,HINDS,08/23/2020,6273
0,1,1,0,0,0,0,691,143,2,15,35,0,1,56,0,57,7,HOLMES,08/23/2020,1009
0,0,0,0,1,0,1,170,75,0,1,33,0,1,25,1,14,6,HUMPHREYS,08/23/2020,328
0,0,0,0,0,0,1,31,30,0,0,3,0,0,12,0,11,6,ISSAQUENA,08/23/2020,94
0,0,0,0,0,1,1,23,2,3,1,6,0,2,44,2,345,50,ITAWAMBA,08/23/2020,480
0,5,0,0,27,11,2,372,67,40,15,224,4,7,977,40,678,284,JACKSON,08/23/2020,2753
0,1,0,0,1,0,0,246,26,0,9,28,0,2,49,0,83,16,JASPER,08/23/2020,461
0,0,0,0,1,0,2,150,25,0,4,6,0,0,18,0,4,1,JEFFERSON,08/23/2020,211
0,2,0,0,0,0,0,138,23,1,5,2,0,1,12,0,73,11,JEFFERSON DAVIS,08/23/2020,268
0,12,2,0,5,1,1,618,71,183,27,182,3,4,103,34,674,153,JONES,08/23/2020,2073
0,11,17,0,1,1,2,132,24,0,4,3,0,0,15,0,38,10,KEMPER,08/23/2020,258
0,0,0,0,2,0,1,206,80,18,22,64,2,8,273,9,345,132,LAFAYETTE,08/23/2020,1162
0,1,1,0,3,1,0,247,60,46,9,146,3,10,175,10,517,125,LAMAR,08/23/2020,1354
0,4,5,0,8,0,0,727,118,3,8,41,0,3,79,5,503,126,LAUDERDALE,08/23/2020,1630
0,0,0,0,1,0,0,143,15,0,5,11,0,7,59,1,125,10,LAWRENCE,08/23/2020,377
1,60,133,0,0,0,1,269,35,69,5,25,3,1,48,11,171,29,LEAKE,08/23/2020,861
0,1,0,2,7,3,2,567,84,24,15,31,13,12,155,17,901,148,LEE,08/23/2020,1982
0,1,8,0,2,1,1,511,354,2,5,84,1,2,53,2,92,79,LEFLORE,08/23/2020,1198
0,0,0,0,0,0,1,228,17,5,23,53,0,5,111,3,434,44,LINCOLN,08/23/2020,924
0,1,0,0,2,0,0,473,84,2,5,32,1,2,268,4,286,55,LOWNDES,08/23/2020,1215
1,6,1,0,20,1,5,1024,191,144,43,215,6,15,227,13,744,130,MADISON,08/23/2020,2786
0,1,0,0,2,0,0,207,21,8,16,16,0,7,73,4,358,43,MARION,08/23/2020,756
0,1,0,0,1,0,0,297,73,17,9,40,1,2,229,12,122,62,MARSHALL,08/23/2020,866
0,1,0,0,1,0,0,280,42,0,11,26,0,5,77,0,430,94,MONROE,08/23/2020,967
0,4,20,0,0,0,0,148,27,0,2,7,0,0,17,0,127,39,MONTGOMERY,08/23/2020,391
2,269,419,0,4,1,1,193,44,3,7,32,0,0,61,3,259,86,NESHOBA,08/23/2020,1384
1,36,94,0,0,0,0,162,30,2,2,23,0,0,57,1,162,55,NEWTON,08/23/2020,625
0,0,1,0,0,0,0,271,53,1,4,31,0,1,70,0,53,24,NOXUBEE,08/23/2020,509
0,1,0,0,0,0,0,464,106,7,18,93,1,4,130,1,362,100,OKTIBBEHA,08/23/2020,1287
0,0,1,0,1,0,2,481,295,12,7,37,0,7,181,1,140,81,PANOLA,08/23/2020,1246
0,1,1,0,0,0,0,89,15,1,3,55,0,1,142,6,295,73,PEARL RIVER,08/23/2020,682
0,0,1,0,1,0,0,34,16,0,3,31,0,3,61,0,110,21,PERRY,08/23/2020,281
0,1,0,0,2,0,2,462,21,1,13,7,0,4,210,2,329,16,PIKE,08/23/2020,1070
0,0,0,0,0,1,0,101,31,82,4,43,14,8,147,25,344,177,PONTOTOC,08/23/2020,977
0,2,2,0,0,0,0,84,8,1,3,10,0,2,93,0,313,40,PRENTISS,08/23/2020,558
0,0,0,0,0,0,1,140,68,0,5,30,0,2,38,0,11,6,QUITMAN,08/23/2020,301
0,3,1,2,11,2,5,559,76,75,37,219,2,13,342,12,1102,204,RANKIN,08/23/2020,2665
3,4,4,0,0,0,1,367,33,194,8,28,2,1,125,19,245,35,SCOTT,08/23/2020,1069
0,0,1,0,0,0,0,61,40,1,0,8,0,2,88,0,30,8,SHARKEY,08/23/2020,239
0,2,1,0,0,0,0,230,92,5,7,23,0,21,105,0,322,86,SIMPSON,08/23/2020,894
0,0,0,0,0,0,0,106,19,2,6,11,0,2,28,0,243,37,SMITH,08/23/2020,454
0,0,0,0,0,0,0,54,11,0,6,27,0,0,42,6,116,22,STONE,08/23/2020,284
0,0,6,0,3,0,2,568,182,1,27,92,0,19,110,2,116,62,SUNFLOWER,08/23/2020,1190
0,0,1,0,0,0,1,186,168,4,5,25,0,6,62,0,50,92,TALLAHATCHIE,08/23/2020,600
0,0,1,0,0,0,3,215,110,4,4,26,1,4,202,5,186,71,TATE,08/23/2020,832
0,0,0,0,1,0,0,54,10,26,5,29,3,1,115,7,191,54,TIPPAH,08/23/2020,496
0,1,0,0,0,0,0,9,0,2,10,7,4,1,40,8,382,40,TISHOMINGO,08/23/2020,504
0,1,0,0,0,0,0,153,58,0,1,7,1,1,177,0,20,6,TUNICA,08/23/2020,425
1,1,0,0,0,0,1,128,35,37,2,8,1,9,136,8,347,109,UNION,08/23/2020,823
0,0,0,0,1,0,0,207,10,1,8,9,0,5,74,2,223,7,WALTHALL,08/23/2020,547
0,3,1,0,4,1,3,508,185,3,13,78,0,7,129,0,245,65,WARREN,08/23/2020,1245
0,0,2,0,1,2,1,790,398,4,16,218,0,19,269,1,131,60,WASHINGTON,08/23/2020,1912
0,0,0,0,0,0,0,437,52,4,30,84,0,2,26,3,151,42,WAYNE,08/23/2020,831
0,0,1,0,0,0,0,63,8,1,4,8,0,0,22,1,147,27,WEBSTER,08/23/2020,282
0,2,0,0,0,0,1,129,26,0,2,10,0,2,53,0,26,7,WILKINSON,08/23/2020,258
0,0,6,0,0,0,2,217,136,1,4,7,0,1,63,0,127,117,WINSTON,08/23/2020,681
0,0,0,0,0,1,0,144,17,0,0,9,0,0,95,2,69,10,YALOBUSHA,08/23/2020,347
0,3,0,0,2,1,5,467,86,2,3,51,1,4,144,30,116,13,YAZOO,08/23/2020,928
14,467,768,9,208,55,97,25724,6444,1517,839,4442,94,367,10977,652,20009,5211,Total,08/23/2020,77894
