# Deaths Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Deaths Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Deaths Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Deaths Race/Ethnicity: Asian (Hispanic),# Deaths Race/Ethnicity: Asian (Not Hispanic),# Deaths Race/Ethnicity: Asian (Unknown Ethnicity),# Deaths Race/Ethnicity: Black or African American (Hispanic),# Deaths Race/Ethnicity: Black or African American (Not Hispanic),# Deaths Race/Ethnicity: Black or African American (Unknown Ethnicity),# Deaths Race/Ethnicity: Other Race (Hispanic),# Deaths Race/Ethnicity: Other Race (Not Hispanic),# Deaths Race/Ethnicity: Other Race (Unknown Ethnicity),# Deaths Race/Ethnicity: Unknown Race (Hispanic),# Deaths Race/Ethnicity: Unknown Race (Not Hispanic),# Deaths Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Deaths Race/Ethnicity: White (Hispanic),# Deaths Race/Ethnicity: White (Not Hispanic),# Deaths Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Deaths
0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,3,3,NOXUBEE,08/24/2020,13
0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,15,1,OKTIBBEHA,08/24/2020,46
0,0,0,0,0,0,0,9,5,0,1,0,0,0,2,0,3,1,PANOLA,08/24/2020,21
0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,32,2,PEARL RIVER,08/24/2020,45
0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3,2,PERRY,08/24/2020,9
0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,19,1,PIKE,08/24/2020,40
0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,3,0,PONTOTOC,08/24/2020,9
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4,PRENTISS,08/24/2020,12
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,QUITMAN,08/24/2020,2
0,0,0,0,0,0,0,15,1,1,0,0,1,0,1,1,22,5,RANKIN,08/24/2020,47
0,0,0,0,0,0,0,11,0,1,0,0,0,0,1,0,7,1,SCOTT,08/24/2020,21
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,SHARKEY,08/24/2020,7
0,0,0,0,0,0,0,13,3,0,1,0,0,0,0,0,20,1,SIMPSON,08/24/2020,38
0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,5,0,SMITH,08/24/2020,13
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,STONE,08/24/2020,9
0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,6,2,SUNFLOWER,08/24/2020,33
0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,3,0,TALLAHATCHIE,08/24/2020,11
0,0,0,0,0,0,0,9,2,1,0,0,0,1,0,0,14,4,TATE,08/24/2020,31
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,2,TIPPAH,08/24/2020,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,TISHOMINGO,08/24/2020,18
0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,2,1,TUNICA,08/24/2020,10
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,3,UNION,08/24/2020,20
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,19,0,WALTHALL,08/24/2020,24
0,1,0,0,0,0,0,15,5,0,1,0,0,0,1,0,15,3,WARREN,08/24/2020,41
0,0,0,0,1,0,0,35,6,0,0,0,0,1,2,0,12,0,WASHINGTON,08/24/2020,57
0,0,0,0,0,0,0,10,1,0,0,3,0,0,0,0,2,5,WAYNE,08/24/2020,21
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,WEBSTER,08/24/2020,13
0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,2,0,WILKINSON,08/24/2020,14
0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,4,0,WINSTON,08/24/2020,18
0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,4,0,YALOBUSHA,08/24/2020,10
0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,5,0,YAZOO,08/24/2020,18
1,63,20,0,2,1,2,971,100,12,12,18,2,3,31,16,884,110,Total,08/24/2020,2248
