# Deaths Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Deaths Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Deaths Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Deaths Race/Ethnicity: Asian (Hispanic),# Deaths Race/Ethnicity: Asian (Not Hispanic),# Deaths Race/Ethnicity: Asian (Unknown Ethnicity),# Deaths Race/Ethnicity: Black or African American (Hispanic),# Deaths Race/Ethnicity: Black or African American (Not Hispanic),# Deaths Race/Ethnicity: Black or African American (Unknown Ethnicity),# Deaths Race/Ethnicity: Other Race (Hispanic),# Deaths Race/Ethnicity: Other Race (Not Hispanic),# Deaths Race/Ethnicity: Other Race (Unknown Ethnicity),# Deaths Race/Ethnicity: Unknown Race (Hispanic),# Deaths Race/Ethnicity: Unknown Race (Not Hispanic),# Deaths Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Deaths Race/Ethnicity: White (Hispanic),# Deaths Race/Ethnicity: White (Not Hispanic),# Deaths Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Deaths
0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,ADAMS,06/21/2020,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ALCORN,06/21/2020,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,AMITE,06/21/2020,2
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,ATTALA,06/21/2020,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENTON,06/21/2020,0
0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,BOLIVAR,06/21/2020,13
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,CALHOUN,06/21/2020,4
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,1,CARROLL,06/21/2020,11
1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,CHICKASAW,06/21/2020,17
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,CHOCTAW,06/21/2020,3
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,CLAIBORNE,06/21/2020,9
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,CLARKE,06/21/2020,21
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,CLAY,06/21/2020,6
0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,COAHOMA,06/21/2020,6
0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,1,0,COPIAH,06/21/2020,11
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,COVINGTON,06/21/2020,3
0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,7,0,DESOTO,06/21/2020,14
0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,1,22,0,FORREST,06/21/2020,42
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,FRANKLIN,06/21/2020,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,GEORGE,06/21/2020,2
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,GREENE,06/21/2020,5
