# Cases Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Cases Race/Ethnicity: Asian (Hispanic),# Cases Race/Ethnicity: Asian (Not Hispanic),# Cases Race/Ethnicity: Asian (Unknown Ethnicity),# Cases Race/Ethnicity: Black or African American (Hispanic),# Cases Race/Ethnicity: Black or African American (Not Hispanic),# Cases Race/Ethnicity: Black or African American (Unknown Ethnicity),# Cases Race/Ethnicity: Other Race (Hispanic),# Cases Race/Ethnicity: Other Race (Not Hispanic),# Cases Race/Ethnicity: Other Race (Unknown Ethnicity),# Cases Race/Ethnicity: Unknown Race (Hispanic),# Cases Race/Ethnicity: Unknown Race (Not Hispanic),# Cases Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Cases Race/Ethnicity: White (Hispanic),# Cases Race/Ethnicity: White (Not Hispanic),# Cases Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Cases
0,1,0,0,0,0,0,235,23,1,7,14,0,0,25,0,108,6,OKTIBBEHA,06/21/2020,420
0,0,0,0,0,0,0,97,18,0,1,1,0,1,38,0,20,3,PANOLA,06/21/2020,179
0,0,1,0,0,0,0,62,4,0,1,10,0,1,7,1,124,15,PEARL RIVER,06/21/2020,226
0,0,1,0,0,0,0,12,2,0,0,1,0,0,1,0,32,6,PERRY,06/21/2020,55
0,0,0,0,2,0,0,167,4,0,3,4,0,0,13,0,83,2,PIKE,06/21/2020,278
0,0,0,0,0,0,0,28,5,12,1,0,2,0,49,2,24,5,PONTOTOC,06/21/2020,128
0,0,0,0,0,0,0,17,2,0,1,3,0,0,15,0,36,4,PRENTISS,06/21/2020,78
0,0,0,0,0,0,0,37,2,0,0,4,0,1,1,0,4,0,QUITMAN,06/21/2020,49
0,2,1,1,2,1,1,167,8,39,14,22,0,2,52,7,260,32,RANKIN,06/21/2020,611
3,3,4,0,0,0,1,281,7,173,5,3,2,1,67,18,125,7,SCOTT,06/21/2020,700
0,0,1,0,0,0,0,4,2,0,0,1,0,0,4,0,1,0,SHARKEY,06/21/2020,13
0,2,0,0,0,0,0,51,8,1,0,4,0,1,32,0,53,14,SIMPSON,06/21/2020,166
0,0,0,0,0,0,0,58,3,1,2,0,0,0,10,0,110,3,SMITH,06/21/2020,187
0,0,0,0,0,0,0,19,1,0,0,2,0,0,0,1,17,2,STONE,06/21/2020,42
0,0,0,0,0,0,0,103,15,0,4,6,0,1,10,0,14,2,SUNFLOWER,06/21/2020,155
0,0,0,0,0,0,0,39,6,1,3,1,0,0,7,0,5,2,TALLAHATCHIE,06/21/2020,64
0,0,0,0,0,0,3,75,3,0,2,3,0,0,41,1,53,1,TATE,06/21/2020,182
0,0,0,0,0,0,0,30,3,6,2,5,1,0,14,3,39,3,TIPPAH,06/21/2020,106
0,0,0,0,0,0,0,2,0,0,4,4,0,0,3,0,38,1,TISHOMINGO,06/21/2020,52
0,0,0,0,0,0,0,45,4,0,1,3,0,0,9,0,13,1,TUNICA,06/21/2020,76
1,1,0,0,0,0,0,34,4,11,0,0,0,3,28,2,37,7,UNION,06/21/2020,128
0,0,0,0,1,0,0,47,3,0,1,0,0,1,14,0,62,4,WALTHALL,06/21/2020,133
0,1,0,0,1,0,1,110,53,0,3,15,0,2,36,0,92,17,WARREN,06/21/2020,331
0,0,1,0,0,0,0,191,32,0,4,14,0,1,34,0,23,2,WASHINGTON,06/21/2020,302
0,0,0,0,0,0,0,271,32,2,17,41,0,0,10,3,49,9,WAYNE,06/21/2020,434
0,0,0,0,0,0,0,35,5,0,2,3,0,0,7,0,62,4,WEBSTER,06/21/2020,118
0,2,0,0,0,0,0,69,6,0,1,0,0,0,4,0,3,0,WILKINSON,06/21/2020,85
0,0,6,0,0,0,2,99,17,1,1,1,0,1,15,0,30,5,WINSTON,06/21/2020,178
0,0,0,0,0,0,0,85,3,0,0,0,0,0,2,2,40,0,YALOBUSHA,06/21/2020,132
0,3,0,0,0,1,4,217,17,2,1,8,1,1,53,29,54,4,YAZOO,06/21/2020,395
7,309,656,1,61,8,40,10471,963,839,308,629,26,44,1727,282,5368,548,Total,06/21/2020,22287
0,0,0,0,1,0,0,136,6,3,12,5,0,1,3,19,42,5,ADAMS,06/22/2020,233
0,1,0,0,0,0,0,9,0,0,2,2,0,2,8,0,14,0,ALCORN,06/22/2020,38
0,0,0,0,0,0,0,39,3,0,0,3,0,2,4,1,21,3,AMITE,06/22/2020,76
0,2,2,0,0,0,0,183,13,4,3,1,0,0,12,0,113,4,ATTALA,06/22/2020,337
0,0,0,0,0,0,0,9,2,3,0,0,0,0,2,0,6,1,BENTON,06/22/2020,23
0,0,2,0,0,0,0,143,13,0,4,6,1,3,17,2,27,5,BOLIVAR,06/22/2020,223
0,0,0,0,0,0,0,34,2,3,1,1,0,1,6,2,46,3,CALHOUN,06/22/2020,99
0,0,0,0,0,0,1,59,3,0,0,1,0,0,7,0,57,7,CARROLL,06/22/2020,135
1,0,0,0,0,0,6,114,10,0,3,6,0,1,21,0,36,4,CHICKASAW,06/22/2020,202
0,0,0,0,0,0,0,34,1,0,0,0,0,0,7,0,20,3,CHOCTAW,06/22/2020,65
0,0,0,0,1,0,0,83,25,0,0,2,0,0,44,0,13,4,CLAIBORNE,06/22/2020,172
0,0,0,0,1,0,0,97,0,2,6,4,0,1,2,0,68,2,CLARKE,06/22/2020,183
0,0,0,0,0,0,0,148,37,1,3,2,0,0,11,1,12,3,CLAY,06/22/2020,218
0,0,0,0,0,0,0,111,13,3,2,5,1,0,5,5,13,2,COAHOMA,06/22/2020,160
0,2,0,0,1,0,0,296,25,29,14,33,0,1,31,2,50,8,COPIAH,06/22/2020,492
0,0,0,0,0,0,1,115,11,4,0,6,0,1,28,4,66,10,COVINGTON,06/22/2020,246
0,2,0,0,8,3,5,308,27,49,20,25,5,0,166,35,268,27,DESOTO,06/22/2020,948
0,0,0,0,5,1,1,258,40,97,12,16,1,1,54,13,196,42,FORREST,06/22/2020,737
0,0,0,0,0,0,0,14,3,0,0,0,0,2,0,1,10,1,FRANKLIN,06/22/2020,31
0,0,0,0,1,0,0,4,2,1,2,5,0,2,4,5,30,2,GEORGE,06/22/2020,58
0,0,0,0,0,0,0,27,3,0,1,2,0,0,1,0,33,4,GREENE,06/22/2020,71
0,0,0,0,0,0,0,110,5,0,1,11,0,1,14,0,65,4,GRENADA,06/22/2020,211
0,0,0,0,1,0,0,17,0,1,3,1,0,0,1,5,70,4,HANCOCK,06/22/2020,103
0,1,0,0,6,2,2,176,13,16,9,23,2,1,27,26,180,15,HARRISON,06/22/2020,499
0,4,0,0,6,1,3,1037,78,39,13,92,2,3,139,14,136,22,HINDS,06/22/2020,1589
0,1,0,0,0,0,0,416,19,1,8,9,0,0,4,0,32,1,HOLMES,06/22/2020,491
0,0,0,0,0,0,0,66,8,0,1,1,0,0,7,0,10,2,HUMPHREYS,06/22/2020,95
0,0,0,0,0,0,0,15,0,1,1,2,0,0,9,0,79,5,ITAWAMBA,06/22/2020,112
0,2,1,1,3,0,0,163,17,19,7,8,2,0,14,9,161,18,JACKSON,06/22/2020,425
0,0,0,0,1,0,0,146,9,0,7,9,0,1,7,0,36,0,JASPER,06/22/2020,216
0,0,0,0,0,0,0,55,4,0,1,0,0,0,1,0,2,1,JEFFERSON,06/22/2020,64
0,2,0,0,0,0,0,68,2,1,1,1,0,0,3,0,12,2,JEFFERSON DAVIS,06/22/2020,92
0,8,1,0,1,1,1,340,30,130,14,57,3,1,28,29,266,42,JONES,06/22/2020,952
0,6,10,0,0,0,2,106,5,0,5,2,0,0,4,0,26,2,KEMPER,06/22/2020,168
0,0,0,0,1,0,1,74,11,3,16,19,1,1,41,2,86,13,LAFAYETTE,06/22/2020,269
0,0,1,0,0,0,0,99,17,25,3,10,2,4,42,5,123,22,LAMAR,06/22/2020,353
0,3,1,0,7,0,0,489,29,3,6,15,0,2,14,3,255,23,LAUDERDALE,06/22/2020,850
0,0,0,0,1,0,0,84,4,0,1,5,0,1,7,0,30,1,LAWRENCE,06/22/2020,134
1,41,122,0,0,0,1,173,4,66,4,4,3,0,16,10,52,8,LEAKE,06/22/2020,505
0,1,0,0,1,0,2,159,32,4,8,5,0,1,40,3,123,9,LEE,06/22/2020,388
0,0,0,0,1,0,1,313,24,0,2,12,0,1,14,0,60,2,LEFLORE,06/22/2020,430
0,0,0,0,0,0,0,120,13,4,5,9,0,1,17,1,196,18,LINCOLN,06/22/2020,384
0,0,0,0,1,0,0,255,18,2,2,1,0,0,54,1,55,3,LOWNDES,06/22/2020,392
0,2,0,0,5,0,1,516,47,87,16,46,0,1,64,11,197,21,MADISON,06/22/2020,1014
0,0,0,0,1,0,0,71,5,5,1,4,0,0,6,1,93,9,MARION,06/22/2020,196
0,0,0,0,1,0,0,66,6,2,1,4,2,0,27,5,28,2,MARSHALL,06/22/2020,144
0,1,0,0,0,0,0,129,15,0,7,6,0,1,18,0,132,5,MONROE,06/22/2020,314
0,1,0,0,0,0,0,55,3,0,1,3,0,0,4,0,37,1,MONTGOMERY,06/22/2020,105
1,199,411,0,1,0,1,129,11,1,1,10,0,1,23,3,106,9,NESHOBA,06/22/2020,907
0,28,92,0,0,0,0,118,6,2,0,3,0,0,16,1,53,5,NEWTON,06/22/2020,324
0,0,0,0,0,0,0,162,7,0,2,1,0,1,22,0,23,6,NOXUBEE,06/22/2020,224
0,1,0,0,0,0,0,243,20,1,8,14,0,0,23,0,110,6,OKTIBBEHA,06/22/2020,426
0,0,0,0,0,0,0,100,18,0,1,5,0,3,39,0,21,3,PANOLA,06/22/2020,190
0,0,1,0,0,0,0,62,4,0,1,10,0,1,8,1,124,15,PEARL RIVER,06/22/2020,227
0,0,1,0,0,0,0,12,2,0,0,1,0,0,1,0,32,6,PERRY,06/22/2020,55
0,0,0,0,2,0,0,170,4,0,4,2,0,2,11,0,92,2,PIKE,06/22/2020,289
0,0,0,0,0,0,0,30,5,16,1,0,2,0,60,2,25,5,PONTOTOC,06/22/2020,146
0,0,0,0,0,0,0,17,2,0,1,3,0,0,16,0,37,4,PRENTISS,06/22/2020,80
0,0,0,0,0,0,0,37,3,0,0,4,0,0,1,0,4,0,QUITMAN,06/22/2020,49
0,2,2,1,2,1,1,168,9,39,15,23,0,2,55,7,261,32,RANKIN,06/22/2020,620
3,3,4,0,0,0,1,283,7,175,5,2,2,1,69,19,126,7,SCOTT,06/22/2020,707
0,0,1,0,0,0,0,4,2,0,0,2,0,0,6,0,1,0,SHARKEY,06/22/2020,16
0,2,0,0,0,0,0,52,8,1,0,5,0,1,34,0,54,13,SIMPSON,06/22/2020,170
0,0,0,0,0,0,0,59,3,1,2,0,0,0,7,0,115,3,SMITH,06/22/2020,190
0,0,0,0,0,0,0,19,1,0,0,2,0,0,0,1,18,2,STONE,06/22/2020,43
